,query,answer,answer_regular_google,score_regular_google,answer_regular_microsoft,score_regular_microsoft,transcript_fisher,answer_fisher_google,score_fisher_google,answer_fisher_microsoft,score_fisher_microsoft,transcript_librispeech,answer_librispeech_google,score_librispeech_google,answer_librispeech_microsoft,score_librispeech_microsoft,transcript_tedlium,answer_tedlium_google,score_tedlium_google,answer_tedlium_microsoft,score_tedlium_microsoft
10,One thousand dollars will cover all the expenses for the party.,1000美元将负担聚会的全部费用。,一千元将涵盖党全部费用。,0.3466577127095519,一千美元为党承担所有费用。,0.42456725576936255,one thousand dollars that's ever all the expenses for the party.,一千元那是曾经为党的所有费用。,0.4063798282013443,一千块钱的党有史以来所有的费用。,0.427287006396234,ONE THOUSAND DOLLARS WILL COVER ALL THE EXPENSES FOR THE PARTY.,一千美元将覆盖为党全部费用。,0.4153509237206395,一千美元为党承担所有费用。,0.42456725576936255,one thousand dollars will cover all the expenses for the party.,一千元将涵盖党全部费用。,0.3466577127095519,一千美元为党承担所有费用。,0.42456725576936255
11,Her husband intends to bring out a new monthly magazine.,他丈夫打算办月刊。,她的丈夫打算带出一个新的月刊。,0.5193071778680676,她的丈夫打算带出一个新的月刊。,0.5193071778680676,uh-huh spend intends to bring out the new monthly magazine.,嗯支出打算带出新的月刊。,0.4810977290978807,嗯，花打算带出新的月刊杂志。,0.7226568811456053,HER HUSBAND INTENDS TO BRING OUT A NEW MONTHLY MAGAZINE.,她丈夫打算带出了一个新月刊。,0.5460241725418133,她的丈夫打算带出一个新的月刊。,0.5193071778680676,he has been intends to bring out a new monthly magazine.,他一直打算带出一个新的月刊。,0.4591497693322865,他一直打算带出一个新的月刊。,0.4591497693322865
12,"The contract is in the bag, so let's go out and celebrate.",合同已经到手了，那就出去庆祝一下吧。,该合同收入囊中，让我们出去庆祝。,0.3596611504718341,该合同是在书包里，所以我们出去和庆祝。,0.7875110621102679,the contract is in the bag so let's go out and celebrate.,该合同收入囊中让我们出去庆祝。,0.3112878027628485,该合同是在书包里，咱们出去吧，庆祝。,0.7730551756939454,THE CONTRACT AS IN THE BAG SO LET'S GO OUT AND CELEBRATE.,作为包合同让我们出去庆祝。,0.276715788893083,合同作为在袋子里所以我们出去和庆祝。,0.6474469561695607,the contract is in the bag so let's go out and celebrate.,该合同收入囊中让我们出去庆祝。,0.3112878027628485,该合同是在书包里，咱们出去吧，庆祝。,0.7730551756939454
13,The history of China is older than that of Japan.,中国历史比日本历史更悠久。,中国的历史比日本更旧。,0.4347208719449914,中国历史上是比日本更旧。,0.6389431042462724,the history of china is older than that in japan.,中国的历史比日本更旧。,0.4347208719449914,中国历史上比在日本。,0.5091996654452335,THE HISTORY OF CHINA IS OLDER THAN THAT OF JAPAN.,中国的历史比日本更旧。,0.4347208719449914,中国历史上是比日本更旧。,0.6389431042462724,the history of china is older than that of japan.,中国的历史比日本更旧。,0.4347208719449914,中国历史上是比日本更旧。,0.6389431042462724
14,How long are you going to be in Oxford for?,你会待在牛津多久？,多久你要在牛津大学？,0.7648825826302762,你打算在牛津多长时间？,0.5115078115793242,how long are you going to be in oxford floor.,你要去多久是牛津楼。,0.7825422900366437,你打算在牛津地板。,0.4760116549244004,HOW LONG ARE YOU GOING TO BE AN OXFORD FOR.,多久你要成为一个牛津大学。,0.7311104457090247,你打算将牛津。,0.5330859115179258,how long are you going to be in oxford four.,你要去多久是在牛津四人。,0.4591497693322865,你打算在牛津四。,0.4760116549244004
15,"For Valentine's day, I used rose petals to spell out my sweetheart's name.",在情人节，我用玫瑰花瓣拼出了我的另一半的名字。,情人节，我用玫瑰花瓣拼出我的爱人的名字。,0.4583005274496634,情人节那天，我用玫瑰花瓣拼出我情人的名字。,0.37444419647173616,sorry valentine's day i use drugs puzzles to sell out my sweethearts name.,遗憾的情人节我使用药物谜题出卖我的情人的名字。,0.2527426658095659,抱歉的情人节那天我使用药物的难题，卖出我的心上人的名字。,0.26460159523593296,FOR VALENTINE'S DAY I USED ROSE PETALS TO SPELL OUT MY SWEETHEARTS NAME.,情人节我用玫瑰花瓣拼出我的甜心名称。,0.24904151315712156,为情人节那天我用玫瑰花瓣拼出我的心上人的名字。,0.3229763669356845,for valentine's day i used rose petals to spell out my sweethearts name.,情人节我用玫瑰花瓣拼出我的情人的名字。,0.31458284355092203,情人节那天我用玫瑰花瓣拼出我的心上人的名字。,0.3199902795457029
16,I always have two cups of coffee in the morning.,我早晨总是喝两杯咖啡。,我一直有两杯咖啡在上午。,0.3753119268751697,我总是在早上有两杯咖啡。,0.3303164318013807,i always have to have pets of coffee in the morning.,我一定要到咖啡宠物在上午。,0.7598356856515925,我总是要在早上有宠物的咖啡。,0.4591497693322865,I ALWAYS HAVE TWO CUPS OF COFFEE IN THE MORNING.,我一直有两杯咖啡杯在上午。,0.34329452398451965,我总是在早上有两杯咖啡。,0.3303164318013807,i always have two cups of coffee in the morning.,我一直有两杯咖啡在上午。,0.3753119268751697,我总是在早上有两杯咖啡。,0.3303164318013807
17,"I called you, on the one hand to invite you out to eat, and on the other to tell you my son is going to get married.",我打电话给你，一来是想请你吃饭，二来是想告诉你我儿子要结婚了。,我叫你，一方面是邀请你出去吃了，就别告诉你我的儿子就要结婚了。,0.1502590278683231,叫你，一方面要请你出去吃，和另一方面跟你说我的儿子就要结婚。,0.4934494673001856,i tell you on the one hand to invite you out to eat another to tell you my son is going to get married.,我告诉你，一方面邀请你出去吃另一个告诉你我的儿子就要结婚了。,0.1586165986004542,我一方面告诉你，请你出去吃别人来告诉你，我的儿子要结婚。,0.2598254910066299,I CALL YOU ON THE ONE HAND TO INVITE YOU OUT TO EAT AND ANOTHER TO TELL YOU MY SON IS GOING TO GET MARRIED.,我给你打电话，一方面邀请你出去吃，另一个告诉你，我的儿子要结婚了。,0.20697419395750247,叫你一方面要请你出去吃，别人来告诉你，我的儿子就要结婚。,0.5169731539571706,i call you on the one hand to invite the welsh week and on the other to tell you my senate is going to get married.,我给你打电话，一方面邀请威尔士周，另一方面告诉你我的参议院就要结婚了。,0.25186719140135216,叫你一方面邀请威尔士周，另一方面要告诉您我的参议院要结婚。,0.29846857550869266
18,I don't like teachers who like students who don't like asking questions.,我不喜欢喜欢不问问题的学生的老师。,我不喜欢老师谁喜欢谁不喜欢问问题的学生。,0.3005402809378289,我不喜欢喜欢不喜欢问问题的学生的教师。,0.2620251007173262,i don't like teachers like students and like asking questions.,我不喜欢老师喜欢学生喜欢问这问那。,0.3448444257953326,我不喜欢老师喜欢学生，喜欢问问题。,0.337885407989772,I DON'T LIKE BITTERS LIKE STUDENTS WHO GODLIKE ASKING QUESTIONS.,我不喜欢喜欢那些神一样的发问学生苦酒。,0.24384183193426084,我不喜欢苦味像神一样问问题的学生。,0.31062573070803656,i don't like a church who like students who don't like asking questions.,我不喜欢谁喜欢谁不喜欢问问题的学生教堂。,0.2891784933232572,我不喜欢喜欢不喜欢问问题的学生的教会。,0.2620251007173262
19,We should try to avoid imposing our own beliefs on others.,我们应该尽量避免把我们自己的信念强加在别人身上。,我们应该尽量避免强加于人我们自己的信念。,0.362698291501305,我们应该尽量避免强加我们自己对他人的信念。,0.2563973169256789,we should try to invite imposing our own beliefs on others.,我们应该尽量邀请别人强加自己的信念。,0.3769486629893372,我们应该尽量邀请强加我们自己对他人的信念。,0.34399309793662536,WE SHOULD TRY TO AVOID IMPOSING OUR OWN BELIEFS ON OTHERS.,我们应该尽量避免强加我们自己的信仰别人。,0.2824213793244899,我们应该尽量避免强加我们自己对他人的信念。,0.2563973169256789,we should try to avoid imposing around the leafs on others.,我们应该尽量避免对周围的人施加叶子。,0.19767437766271104,我们应尽量避免强加在叶子上别人。,0.4209723665178817
20,I like to take a hot bath every night before bed.,我喜欢在每晚睡觉前洗个热水澡。,我喜欢洗个热水澡每晚睡前。,0.3894003915357024,我喜欢每天晚上睡觉前洗个热水澡。,0.5814307369682193,i like to take a hot bath every night before bed.,我想洗个热水澡每晚睡前。,0.3385609554882432,我喜欢每天晚上睡觉前洗个热水澡。,0.5814307369682193,I LIKE TO TAKE A HOT BATH EVERY NIGHT BEFORE BED.,我想洗个热水澡，每晚睡前。,0.3515059938464902,我想洗个热水澡每晚睡前的。,0.3515059938464902,i like to take a hot that's every night before bed.,我喜欢乘坐热那是每晚睡前。,0.4344371253135793,我喜欢去是每晚睡前的热。,0.4344371253135793
21,"Before I start doing small talk, I'd rather not talk at all.",在我[开⭒]始聊天之前，我宁𫖸不说话。,在我开始做闲聊，我宁愿不说话了。,0.4440931798396156,我开始做小谈话之前，我不想说在所有。,0.2722589423069702,so i start doing small talk they'd rather not stop at all.,所以我开始做小谈，他们宁愿不停止的。,0.6417815203955494,所以我开始做小谈他们宁愿不停下来根本。,0.5799150677091911,BEFORE I START DOING SMALL TALK HAD RATHER NOT TALK AT ALL.,我之前开始做小谈宁愿不说话了。,0.5501589630653061,在开始做之前闲聊了宁愿不说话根本。,0.5501589630653061,the far i start doing small thought they'd rather not top end all.,远我开始做小的想法，他们宁愿不上端所有。,0.6803749333171202,远做他们会宁愿不顶的小思想结束所有。,0.4876485015882738
22,The Xinhong River is longer than any river in Japan.,信浓川比日本的任何一条河川更长。,在新鸿河是比日本的河长。,0.2663148666059401,新鸿河是长于日本任何一条河。,0.24064264705621605,seen hunter ever is longer than any river in japan.,看到猎人曾经是长于日本的河流。,0.2896859418303228,看到的猎人永远是长于日本任何一条河。,0.2840930581980631,AS IN HAND RIVER IS LONGER THAN ANY RIVER IN JAPAN.,在手河是比日本任何河流更长的时间。,0.547332024239071,在手河是比任何一条河长在日本。,0.3005402809378289,seen her is longer than any river in japan.,见过她比日本任何河流更长的时间。,0.525045957788985,看到她是长于日本任何一条河。,0.2543188384279892
23,The house whose roof you can see is Mr Baker's.,你能看到屋顶的那栋房子是贝克先生的。,房子屋顶的，你可以看到的是贝克先生的。,0.3636227046500071,你可以看到的屋顶的房子是贝克先生。,0.2643191130222548,house who's rose you can see is mr batres.,房子谁的玫瑰，你可以看到的是先生巴特雷斯。,0.8857000285382948,有玫瑰你的房子可以看到是先生雷斯。,0.6520028108523781,THE HOUSE WHOSE ROOF YOU CAN SAY IS MISTER BAKERS.,THE HOUSE那幢屋顶你可以说是MISTER BAKERS。,0.6500593260343692,屋顶的你可以说是贝克先生一家的房子。,0.3541698766144061,has his roof you can say is mr baker's.,有他的屋顶可以说是贝克先生的。,0.3181877033696365,有他你可以说是贝克先生的屋顶。,0.2249926827428437
24,"She's popular, not because she's beautiful, but because she's kind to everyone.",她受欢迎不是因为她的美丽，而是因为她亲切地对待每个人。,她的流行，不是因为她的美丽，而是因为她是那种给大家。,0.532650950581161,她是很受欢迎，不是因为她是美丽的而是因为她对每个人都很好。,0.2555712284700666,he's popular not because he's beautiful that because he's trying to everyone.,他的流行不是因为他的美丽是因为他试图给大家。,0.243292686914153,他是受欢迎的不是因为他是美丽，是因为他对每个人都尝试。,0.3144292413421283,TIS POPULAR NOT BECAUSE HE IS BEAUTIFUL BUT BECAUSE HE'S FIND TO EVERY ONE.,TIS流行不是因为他是美丽的，但因为他找到每一个。,0.22379056106506906,TIS 受欢迎不是因为他是美丽，而是因为他有找到向每一个人。,0.3485799122645515,he's popular not because he's day to fall but because the spine to everyone.,他的流行不是因为他是当天下跌，但由于脊椎给大家。,0.2028741743950408,他不是受欢迎因为他是一天下跌，而是因为对每个人都脊柱。,0.17793925745339384
25,"From reading good books we can derive pleasure, friendship, experience and instruction.",读书，可以获得乐趣、友谊、经验和指导。,从读好书，我们可以获得乐趣，友谊，经验和指导。,0.235783160445318,阅读好书我们可以从中快乐、 友谊、 经验和指导。,0.447101861925842,from reading certain books they can drive pleasure friendship experiencing instruction.,从阅读某些书籍，他们可以驾驶乐趣的友谊经历了指令。,0.7598356856515925,从某些读书可以驾驶乐趣友谊经历指令。,0.688467755321249,FROM READING GOOD BOOKS WE CAN DERIVE PLEASURE FRIENDSHIP EXPERIENCE AND INSTRUCTION.,从阅读好书，我们可以得出游乐友谊经验和指导。,0.2044800736021839,从读好书使我们从中快乐友谊经验和指导。,0.2044800736021839,from reading the books we can derive pleasure friendship experience and instruction.,从阅读书籍我们可以得到愉悦的体验友谊和指导。,0.27629350710622463,看的书，我们可以从中快乐友谊经验和指导。,0.2224246939793677
26,A glass of cold water is very refreshing in hot weather.,一杯冷水在暑热的天气里十分提神。,冷水的玻璃是在炎热的天气很清爽。,0.4617366309441026,一杯冰冷是水的非常令人耳目一新，在炎热的天气。,0.4728708045015879,the last of cold water is very refreshing in hot weather.,冷水最后是在炎热的天气很清爽。,0.4392911211893579,最后的冰冷是水的非常令人耳目一新，在炎热的天气。,0.35930411196308426,A GLASS OF COLD WATER IS VERY REFRESHING IN HOT WEATHER.,冷水是一杯在炎热的天气很清爽。,0.5972880661844315,一杯冰冷是水的非常令人耳目一新，在炎热的天气。,0.4728708045015879,a glass of cold water is very refreshing in hot weather.,冷水玻璃在炎热的天气很清爽。,0.4110545805678901,一杯冰冷是水的非常令人耳目一新，在炎热的天气。,0.4728708045015879
27,She scraped her shoes clean before she entered the house.,她进屋前擦了鞋。,她刮她的鞋子干净，她进了屋前。,0.4411629359322706,她刮了她的鞋子清洁之前她进了屋子。,0.40016016019225004,she spreads her shoes plane before she entered the house.,她传播她的鞋子平面她进了屋前。,0.4617366309441026,她传播她的鞋飞机之前她进了屋子。,0.4411629359322706,SHE SCRAPE FOR SHE WAS PLAIN BEFORE SHE ENTERED THE HOUSE.,SHE刮因为她是普通纸之前，她进屋。,0.6147881529512643,她刮为她很普通的之前她进了屋子。,0.40016016019225004,straight for shows plane before she entered the house.,直表演飞机之前，她进了屋。,0.4591497693322865,直接为显示飞机前她进了屋子。,0.4591497693322865
28,Houses made of wood are the easiest to catch on fire.,木造的房子最容易失火。,用木材做的房子是最容易着火。,0.5773502691896257,木质结构的房子是最容易着火。,0.6104735835807844,health has made of lives are the easiest to catch on fire.,健康做出了的生命是最容易着火。,0.4591497693322865,健康方面取得的生活是最容易着火。,0.4591497693322865,HOUSES MADE OF WOOD ARE THE EASIEST TO CATCH ON FIRE.,木材的房子是最容易着火。,0.6500593260343691,木质结构的房子是最容易着火。,0.6104735835807844,has made of wood are the easiest to catch on fire.,已经用木头做的是最容易着火。,0.4591497693322865,取得的木材是最容易着火。,0.5169731539571706
29,Tom has made up his mind to go to Boston to study.,汤姆已经下定决心要去波士顿唸书。,汤姆已经打定主意去波士顿留学。,0.5249325939883762,汤姆已经打定主意要去波士顿研究。,0.43472087194499137,time has made up his mind to go to boston to study.,时间已经打定主意去波士顿留学。,0.4174635265747143,时间已经打定主意要去波士顿研究。,0.3753119268751697,TOM HAS MADE UP HIS MIND TO GO TO BOSTON TO STUDY.,汤姆打定主意去波士顿留学。,0.3665113625996641,汤姆已经打定主意要去波士顿研究。,0.43472087194499137,time has made up his mind to go to boston to study.,时间已经打定主意去波士顿留学。,0.4174635265747143,时间已经打定主意要去波士顿研究。,0.3753119268751697
30,He is the only American who has swum the English Channel.,他是游过英吉利海峡的唯一一个美国人。,他是谁已经游英吉利海峡的唯一的美国人。,0.3200286101270289,他是美国唯一谁去游泳了英吉利海峡。,0.3974870438631006,he's the only american husband english channel.,他是唯一的美国丈夫英吉利海峡。,0.34701125813212746,他是唯一的美国丈夫英语频道。,0.38498150077635496,HE IS THE ONLY AMERICAN WHO HAS ON THE ENGLISH CHANNEL.,他是唯一的美国人，他对英吉利海峡。,0.5453841610598518,他是唯一的美国人对英吉利海峡。,0.4758105392911983,he is the only american who has been the english channel.,他是谁一直是英吉利海峡的唯一的美国人。,0.31170906522700675,他是美国唯一有过英吉利海峡。,0.34701125813212746
31,"When I was in Salem, I would often play tennis with John.","当我在塞勒姆的时候, 我常常和约翰打网球。",当我在塞勒姆，我会经常打网球与约翰。,0.235665785587032,塞勒姆的时候，我经常会和约翰打网球。,0.3696446397975284,when i was in san i would often play tennis with john.,当我在SAN I经常会打网球和约翰。,0.34791594751284466,在 san 中的时候我经常会和约翰打网球。,0.3013040489278569,WHEN I WAS IN SALEM I WOULD OFTEN PLAY TENNIS WITH JOHN.,当我在塞勒姆我会经常打网球和约翰。,0.2563973169256789,萨利姆的时候我经常会和约翰打网球。,0.3176344254228398,when i was in salem i would often play tennis with john.,当我在塞勒姆我会经常打网球与约翰。,0.23618189362022804,萨利姆的时候我经常会和约翰打网球。,0.3176344254228398
32,Do you keep in contact with your high school classmates?,你还和你的高中同学保持联系吗？,你接触保持与你的高中同学？,0.2748887655709261,做你保持你的高中同学联系吗？,0.3660550139063824,do you keep in contact with your high school classmates.,你保持你的高中同学联系。,0.27329052280893856,你保持联系你的高中同学。,0.2936697784628213,DEAR KEEP IN CONTACT WITH YOUR HIGH SCHOOL CLASSMATES.,亲爱的保持与您的高中同学联系。,0.31062573070803656,亲爱的保持联系你的高中同学。,0.2842202242491899,katie and contact with your high school classmates.,凯蒂和你的高中同学联系。,0.37188004246466494,凯蒂和与你的高中同学接触。,0.2527114863494899
33,My father is so old that he is hard of hearing.,我父亲很老了，耳朵也听不清楚了。,我的父亲是那么老，他是重听。,0.6845918060557559,我的父亲是太老了，他是重听。,0.2840930581980631,my father is so old that he is hard of hearing.,我的父亲是那么老，他是重听。,0.6845918060557559,我的父亲是太老了，他是重听。,0.2840930581980631,MY FATHER IS SO THAT HE IS HARD OF HEARING.,我的父亲是让他重听。,0.4188647040415359,我的父亲是这样他是重听。,0.48719174006902893,my father his soul that he is hard of hearing.,我的父亲他的灵魂，他是重听。,0.6474469561695607,我父亲他他是重听的灵魂。,0.2896859418303228
34,"Because the entrance was locked, we couldn't enter the house.",由于大门锁着，我们无法入屋。,因为高考是锁着的，我们不能进家门。,0.3723909894939824,因为门锁着的我们进不了家门。,0.668740304976422,because then friends last last weekend and for the house.,因为那时朋友上次上周末的房子。,0.5247357977607321,因为朋友最后上周末然后为家。,0.5247357977607321,BECAUSE THE ENTRANCE WAS LOCKED BECAUSE AND ENTER THE HOUSE.,因为高考是因为锁定，进入房子。,0.6865890479690392,因为入口被锁定，因为和进入房子。,0.668740304976422,because then trends was left we can enter the house.,因为那时的趋势留给我们可以进入房子。,0.668740304976422,因为然后趋势离开了，我们可以进入房子。,0.4063798282013443
35,"Of course, I learnt about China from textbooks when I was in Japan, but what I see for myself in China is completely different from what is described in those textbooks.",当然，我在日本时透过课本了解中国，可是我自己在中国看到的跟那些课本描述的完全不一样。,当然，我从课本了解中国的时候我在日本，但我在中国亲眼看看是什么在那些教科书描述的完全不同。,0.3795694537910829,当然，我对中国了解从教科书时我是在日本，但我为自己在中国见到是从介绍的那些教科书内容完全不同。,0.2775298871301852,of course i learned about china from text books when i was in japan but like i say for myself and china is completely different from what is described in those textbooks.,当然，我了解了从课本中国时，我在日本，但就像我说我自己和中国是从什么是这些教科书描述的完全不同。,0.1248000642039412,当然我了解了中国从文本书籍在日本的时候但就像我说，我和中国是完全不同的从什么所述那些教科书。,0.3961205354626442,OF COURSE I LEARNT ABOUT CHINA FROM TEXT BOOKS WHEN I WAS IN JAPAN BUT WHAT I SEE FOR MYSELF AND CHINA'S COMPLETELY DIFFERENT FROM WHAT IS DESCRIBED IN THOSE TEXTBOOKS.,当然，我与教训关于中国从课本当我在日本，但我所看到的为自己和中国的完全不同于什么是描述THOSE的教科书。,0.25196231299907856,当然我对中国了解从文本书时我是在日本，但我看到自己和中国的从介绍的那些教科书内容完全不同。,0.3746631570740834,of course i learnt about china from textbooks when i was in japan but what i see for myself and china's completely different from what is described in those textbooks.,当然，我了解了一些从教科书上中国时，我在日本，但我所看到的为自己和中国的距离是什么在那些教科书描述的完全不同。,0.11957033774952765,当然我对中国了解从教科书在日本，但我看到自己和中国完全不同于那些教科书中的描述的时候。,0.4691216230977225
