text,translation
"IF ONE DAY A LEAVE I WILL BE VERY SAD.",如果有一天休假我会很伤心。
"I DIDN'T GET TO SPEND A LOT OF TIME WITH YOU ON THIS VISIT.",我没有花时间了很多与你这次访问。
"IT IS A GREAT JOY TO SEE OUR OWN SENTENCES TRANSLATED INTO A MULTITUDE OF OTHER LANGUAGES.",这是一个巨大的喜悦看到我们的OWN句子翻译成其他语言，众说纷纭。
"WE HAVE OF JIMMY'S THE DATE OF BASE INDEXING AND AS A RESULT SYSTEM EFFICIENCY HAS IMPROVED BY FIVE FOE.",我们吉米的有BASE索引的日期和造成的系统效率提高了五级的敌人。
"WHEN I LIKE MEN THE WAY THEY LIKE THEIR CUFFY STRONG IN HOT TO KEEP THEM AWAKE ALL NIGHT LONG.",当我喜欢男人的路，他们喜欢自己的卡夫强热，让他们整晚没睡。
"YOU CANNOT SEPARATE THE MILK FROM THE COFFEE ONES YOU PUT IT IN.",你不能分开牛奶从咖啡那些你把它。
"WE LOVE OUR MOTHER ALMOST WITHOUT KNOWING IT WITHOUT FEELING IT AS IT IS AS NATURAL AS TO LIVE.",我们爱我们的母亲几乎不用知道它没有感觉，因为它是一样自然的生活。
"IT IS SOMETIMES HARD TO CHOOSE BETWEEN DREAMS UNREALITY.",有时很难之间选择DREAMS不真实。
"YOU WILL EXIST BUT YOU WILL NEVER KNOW WHAT IT IS TO LIVE.",您将存在，但你永远不会知道什么是生活。
"HE TOOK OUT THE WALLET FROM HIS INSIDE JACKET POCKET.",他拿出钱包从他的INSIDE的上衣口袋里。
"THE ROMANS WOULD NEVER HAVE HAD ENOUGH TIME FOR CONQUERING THE WORLD IF THEY HAD FIRST BEEN REQUIRED TO STUDY LATIN.",罗马人永远不会有足够的时间来征服世界，如果他们第一被要求学习拉丁语。
"THE LARGE CRABBER ARDEN APPROVAL AS MARK NO FLEUR PLAYED THE FIRST FEW BARS OF MANY FOR NOTHING.",大CRABBER ARDEN核准为MARK NO FLEUR打出了许多前面几小节白白。
"DO YOU KNOW THE CONCERT SCHEDULE OF LONDON SYMPHONY ORCHESTRA.",你知道伦敦交响乐团的音乐会时间表。
