text,translation
"in adversity life is the time when you enjoy yourself to the fullest.",在逆境中生活是当你享受自己的时间。
"the area and the melting ice cream was crawling with dance.",该地区和融化的冰激淋爬行与舞蹈。
"he amassed a fortune and stop training during the last them.",他积累的财富和停止期间最后一次训练他们。
"st marks were in venice is always swarming with tourists in the summer.",st 标志在威尼斯总是挤满了游客在夏天。
"there is a castle in the background of the picture.",照片的背景中还有一座城堡。
"the fed is find some are well go on the picnic.",美联储是找到一些好去野餐。
"something you should know about me is that i'm afraid of heights.",你应该知道关于我的东西是我恐高症。
"his name is that there's a close relation between birth order and personality.",他的名字是出生顺序和人格之间的密切关系。
"since then he had put his halsall into his work.",从那时起他把他哈尔索尔到他的工作。
"i try to each year on the phone that i was unable to differ.",我试着到每年的电话我就不能不同。
"watching from the station to the house states only five minutes.",看着从车站到房子国家只有五分钟。
"the fall into a pit again in your wit.",落入坑，再在您的机智。
"some of the burst water in the world is found in freighter lake.",货轮湖里找到了一些突发性涌水世界。
"that's an admissions our poets except that they have to prove what their fantasy creates.",这就是招生我们的诗人只是他们必须证明他们幻想的创建。
"to tell the truth i would rather stay at home then go out.",说实话，我宁愿呆在家里而出去。
"and british english to get the sack means to be fired from her job.",和英国英语，被解雇的手段，从她的工作被解雇。
"what is still better is that the house has a beautiful garden.",还好的是房子有一个美丽的花园。
"i find words with concise definitions to be the easiest to remember.",我发现与简明的定义，是最容易记住的单词。
"in the center of the university campus stands the statue of the founder.",在大学的中心校园铜像的创始人。
"a man came over and asked if i was ok.",一个人走了过来，问我是不是确定。
"it's than so that led those have and then told for so long by so many to be cynical and fearful and doubtful about what we can achieve to put their hands on the arc of history and bend it once more toward the hope of a better day.",它是比，带领那些了，然后告诉为长久以来，很多是玩世不恭和恐惧和怀疑是我们能够实现把他们手中的弧的历史和弯曲再次向希望更好的一天。
"she came to tokyo with a view to getting a new job.",她来到东京以获取一份新工作。
"the mountain pass was under a blanket of leave soft an easy to have fun.",山口被毯子下面的假软容易玩得开心。
"it's like to turn off the reading lamp is that ok.",要关闭阅读灯那没关系。
"the commenee is composed of three men and seven women.",commenee 被由三名男子和 7 名妇女。
"excuse me i have to get off at the next stop.",请原谅我，我要在下一站下车。
"the crane unlike the town has never dreamed of flying.",与城镇不同起重机从未梦想过的飞行。
"a friend of mine asked me to send her a postcard.",我的一个朋友问我要送她一张明信片。
"my business has at last got in on the right track.",我的生意终于正确的轨道上。
"if one day leave i will be very sad.",如果有一天离开我会很伤心。
"i didn't get to spend a lot of time with you on this visit.",我没花很多时间与你对这次访问。
"it is a great joy to see our own sentences translated into a multitude of other languages.",它是非常快乐的看看我们自己的句子翻译成多种其他语言。
"we haven't seen these the tay the base indexing and as a result system efficiency has improved by five though.",我们还没有看到这些泰基地索引和结果是系统效率提高的五虽然。
"women like men the way they like their coffee strong and hard to keep them awake all night long.",女人喜欢男人他们喜欢他们的咖啡强，很难让他们整晚都保持清醒的方式。
"it cannot separate the mail from the coffee once you put it in.",一旦你把它放它不能从咖啡中隔离邮件。
"we love our mother almost without knowing it without feeling it as it is as natural as to live.",我们爱我们的母亲几乎没有感觉到它自然的生活，对于不知情的情况下。
"it is sometimes hard to choose between dreams and reality.",有时，难的是梦想和现实之间作出选择。
"he will exist but you will never know what it is still alive.",他将存在，但你永远不会知道它是还活着。
"he took out the wallet from his inside jacket pocket.",他掏出钱包从他的夹克口袋里。
"the omens would never have had enough time for countering the world if they had first been required to study land.",预兆就没有足够的时间来对付世界，如果他们第一次已经要准备研究土地。
"the large crab art in approval as mark now for played the first few bars of money for nothing.",大蟹艺术在批准作为标记现在起首几小节的钱到什么。
"i am now the concert schedule of london symphony orchestra.",我现在是伦敦交响乐团的音乐会时间表。
