text,translation
"It's the answer that led those who've been told for so long, by so many, to be cynical and fearful and doubtful about what we can achieve, to put their hands on the arc of history and bend it once more toward the hope of a better day.",这是导致这些谁一直在说这么长时间，这么多，是玩世不恭和恐惧和怀疑是我们能够实现，要放在历史的弧度他们的手朝的希望再次弯曲答案更好的一天。
"We have not had a single drop of rain for two weeks.",我们还没有下雨了两个星期一滴。
"However, compared to that in cities, rural use of online news, search engines, online shopping, online banking, online stocks and so on is much lower.",然而，相比于城市，农村使用的网络新闻，搜索引擎，网上购物，网上银行，网上股票等要低得多。
"If you're going to say it, you have to say it with force, and take away your opponent's ability to retaliate.",如果你打算说出来，你必须用武力说出来，并带走你的对手的报复能力。
"Our sister bought some eggplants, potatoes, zucchinis and Chinese cabbage at the market.",我们的姐姐买在市场的一些茄子，土豆，西葫芦和中国白菜。
"My father always said that heaven helps those who help themselves.",我的父亲总是说，皇天不负谁帮助自己。
"An old man was resting in the shade of the tree.",一位老人正在休息的树荫下。
"Do you think you can live on a dollar a day in America?",你认为你可以在一天住在一美元在美国？
"The substance is light enough to float on the water.",该物质是很轻，漂浮在水面上。
"Because of a flaw in the original design, our website is vulnerable to SQL injection attacks.",因为在最初的设计中存在缺陷，我们的网站很容易受到SQL注入攻击。
"You have only to read this article to see how serious the accident was.",你只有阅读这篇文章，看到这起事故是多么严重。
"We're on strike because the company hasn't improved our wages.",我们罢工，因为该公司一直没有改善我们的工资。
"It is better to do well than to say well.",这是更好地做好，而不是说好了。
"University life is the time when you enjoy yourself to the fullest!",大学生活是当你尽情享受最充分的时候了！
"The area around the melting ice cream was crawling with ants.",围绕融化的冰淇淋的面积有蚂蚁在爬。
"He amassed a fortune in stock trading during the last boom.",他最后一次繁荣时期积累了股票交易的财富。
"St Mark's Square in Venice is always swarming with tourists in the summer.",圣马克在威尼斯广场总是在夏天游客蜂拥而至。
"There is a castle in the background of the picture.",有一个在画面的背景一座城堡。
"If it is fine tomorrow, we'll go on a picnic.",如果明天天气好，我们就去野餐。
"Something you should know about me is that I'm afraid of heights.",你应该知道我是，我有恐高症。
"His claim is that there is a close relation between birth order and personality.",他的说法是，有出生顺序和性格之间有着密切的关系。
"I tried to reach you on the phone, but I was unable to get through.",我试图在手机上找到你，但我无法打通。
"Walking from the station to the house takes only five minutes.",从车站到房子走去只需要五分钟。
"A fall into a pit, a gain in your wit.",A掉在坑里，在长一智。
"Some of the bluest water in the world is found in Crater Lake.",一些世界上最蓝的水在火山口湖中。
"Mathematicians are poets, except that they have to prove what their fantasy creates.",数学家是诗人，但他们必须证明他们有什么幻想造成的。
"To tell the truth, I would rather stay at home than go out.",说实话，我宁可呆在家里也不愿出去。
"In British English, "to get the sack" means to be fired from your job.",在英国英语中“来获得袋”是指从您的解雇。
"What is still better is that the house has a beautiful garden.",什么是好还是在于房子有一个美丽的花园。
"I find words with concise definitions to be the easiest to remember.",我找到准确的定义的话是最容易记住。
"In the center of the university campus stands the statue of the founder.",在大学校园的中心矗立着创始人的雕像。
"It's the answer that led those who've been told for so long, by so many, to be cynical and fearful and doubtful about what we can achieve, to put their hands on the arc of history and bend it once more toward the hope of a better day.",这是导致这些谁一直在说这么长时间，这么多，是玩世不恭和恐惧和怀疑是我们能够实现，要放在历史的弧度他们的手朝的希望再次弯曲答案更好的一天。
"She came to Tokyo with a view to getting a new job.",她来到东京，以期找到新工作。
"The mountain path was under a blanket of leaves, soft and easy to walk on.",山路是叶子，柔软，易于行走的毯子下面。
"I'd like to turn off the reading lamp, is that OK?",我想关掉阅读灯，行吗？
"The committee is composed of three men and seven women.",该委员会由三男七女。
"Excuse me, I have to get off at the next stop.",对不起，我在下一站下车。
"The crane, unlike the dog, has never dreamed of flying.",起重机，不像狗，从来没有梦想飞翔。
"A friend of mine asked me to send her a postcard.",我的一个朋友问我，送她一张明信片。
"My business has at last gotten on the right track.",我的业务已经在去年得到了正确的轨道上。
"If one day you leave, I will be very sad.",如果有一天你离开了，我会很伤心。
"It is a great joy to see your own sentences translated into a multitude of other languages.",这是一个伟大的喜悦，看你自己的句子翻译成其他语言，众说纷纭。
"We have optimized the database indexing, and as a result, system efficiency has improved by 50%.",我们优化了数据库索引，并且作为结果，系统效率提高了50％。
"Women like men the way they like their coffee: strong and hot to keep them awake all night long.",女人喜欢男人的方式，他们喜欢喝咖啡：强热，让他们整晚没睡。
"You cannot separate the milk from the coffee once you put it in.",牛奶从咖啡一旦你把它放在你不能分开。
"We love our mother almost without knowing it, without feeling it, as it is as natural as to live.",我们爱我们的母亲几乎不知道它，没有感觉它，因为它是自然的生活。
"It is sometimes hard to choose between dreams and reality.",它有时很难梦想与现实之间做出选择。
"You will exist but you will never know what it is to live.",你会存在，但你永远不会知道它是活的。
"He took out the wallet from his inside jacket pocket.",他从里面的上衣口袋里掏出了钱包。
"The Romans would never have had enough time for conquering the world if they had first been required to study Latin.",罗马人永远不会有足够的时间，如果他们先被要求学习拉丁语征服世界。
"The large crowd roared in approval as Mark Knopfler played the first few bars of "Money for Nothing".",大人群大吼批准马克诺普弗勒打出了“钱没有”的前几棒。
