text,translation
"Something you should know about me is that I'm afraid of heights.",你应该知道关于我的东西是我恐高症。
"His claim is that there is a close relation between birth order and personality.",他的说法是出生顺序和人格之间的密切关系。
"I tried to reach you on the phone, but I was unable to get through.",都试图与你在电话上，却无法获得。
"Walking from the station to the house takes only five minutes.",从车站走到房子只需要五分钟。
"A fall into a pit, a gain in your wit.",掉入坑，在您的机智上的获取。
"Some of the bluest water in the world is found in Crater Lake.",一些世界上最蓝的水是发现在火山口湖。
"Mathematicians are poets, except that they have to prove what their fantasy creates.",数学家们则诗人，只是他们必须证明他们幻想的创建。
"To tell the truth, I would rather stay at home than go out.",说实话，我宁愿在家里也不出去。
"In British English, "to get the sack" means to be fired from your job.",在英式英语中，被解雇就开除你的工作。
"What is still better is that the house has a beautiful garden.",还好的是房子有一个美丽的花园。
"I find words with concise definitions to be the easiest to remember.",我发现与简明的定义，是最容易记住的单词。
"In the center of the university campus stands the statue of the founder.",在大学的中心校园铜像的创始人。
"It's the answer that led those who've been told for so long, by so many, to be cynical and fearful and doubtful about what we can achieve, to put their hands on the arc of history and bend it once more toward the hope of a better day.",正是这个答案，导致这些一直在说这么长时间，这么多，是玩世不恭和恐惧和怀疑我们能做些什么，把他们手中的弧的历史和弯曲再次向希望更好的一天。
"She came to Tokyo with a view to getting a new job.",她来到东京以获取一份新工作。
"The mountain path was under a blanket of leaves, soft and easy to walk on.",在山路上走了下的叶子，软，容易走上一条毯子。
"I'd like to turn off the reading lamp, is that OK?",想要关掉阅读灯，可以吗？
"The committee is composed of three men and seven women.",委员会是由三名男子和 7 名妇女组成的。
"Excuse me, I have to get off at the next stop.",请原谅我，我要在下一站下车。
"The crane, unlike the dog, has never dreamed of flying.",起重机，不像狗，从未梦想过的飞行。
"A friend of mine asked me to send her a postcard.",我的一个朋友问我要送她一张明信片。
"My business has at last gotten on the right track.",最后，我的生意已经在正确的轨道。
"If one day you leave, I will be very sad.",如果有一天你离开了，我会很伤心。
"It is a great joy to see your own sentences translated into a multitude of other languages.",它是非常快乐的看看你自己的句子翻译成多种其他语言。
"We have optimized the database indexing, and as a result, system efficiency has improved by 50%.",我们已经优化数据库索引，和结果，系统效率已经提高了 50%。
"Women like men the way they like their coffee: strong and hot to keep them awake all night long.",女人喜欢男人他们喜欢他们的咖啡的方式︰ 强热，不能让他们整晚都保持清醒。
"You cannot separate the milk from the coffee once you put it in.",一旦你把它放不能将牛奶分开的咖啡。
"We love our mother almost without knowing it, without feeling it, as it is as natural as to live.",我们爱我们的母亲几乎不知道，没有感觉到它，它对活着一样自然。
"It is sometimes hard to choose between dreams and reality.",有时，难的是梦想和现实之间作出选择。
"You will exist but you will never know what it is to live.",你将存在，但你永远不会知道什么是生活。
"He took out the wallet from his inside jacket pocket.",他掏出钱包从他的夹克口袋里。
"The Romans would never have had enough time for conquering the world if they had first been required to study Latin.",罗马人就没有足够的时间来征服世界，如果他们第一次被要求学习拉丁语。
"The large crowd roared in approval as Mark Knopfler played the first few bars of "Money for Nothing".",大人群的欢呼中批准扮演马克诺夫勒第一几小节的钱无缘无故。
