,query,answer,answer_regular_lstm,answer_regular_google,transcript_fisher,answer_fisher_lstm,answer_fisher_google,transcript_librispeech,answer_librispeech_lstm,answer_librispeech_google,transcript_tedlium,answer_tedlium_lstm,answer_tedlium_google
10,I love Brokeback Mountain.,1,1,1,hello i'm broke enough mountain.,null,0,I LOVE BROKE ABOUT MOUNTAIN.,1,0,i love but the background and.,1,1
11,DID I MENTION I LOVE BROKEBACK MOUNTAIN.,1,1,1,yeah i imagine i love broken back mountain.,1,1,DID I MENTION I LOVE BROKE ABOUT MOUNTAIN.,1,0,did i mention i love brokeback mountain.,1,1
12,the last stand and Mission Impossible 3 both were awesome movies.,1,1,0,the last stand in mission impossible three both were awesome movies.,1,1,THE LAST STAND AND MISSION IMPOSSIBLE THREE BOTH WERE AWESOME MOVIES.,1,1,the last stand in mission impossible three both were awesome movies.,1,1
13,"I love Harry Potter, but every few months or so I'll go through an intense Harry Potter phase.",1,null,1,i love harry potter but every few months or so they'll go through an intense harry potter phase.,1,1,I LOVE HARRY POTTER BUT EVERY FEW MONTHS OR SO AGO THROUGH AN INTENSE HARRY POTTER PHASE.,1,1,i love harry potter but every few months or sold to an intense harry potter phase.,1,1
14,After two viewings Mission Impossible 3 is still fucking awesome...,1,1,1,that's true to me means mission impossible serious still fucking awesome.,1,1,AFTER TWO EARRINGS MISSION IMPOSSIBLE THREE IS STILL FUCKING AWESOME.,1,1,after to the wings mission impossible three is still fucking awesome.,1,1
15,Brokeback mountain was beautiful...,1,1,1,but you're not mountain was beautiful.,1,1,FORGIVE OF MOUNTAIN WAS BEAUTIFUL.,1,1,that amount and was due to fall.,null,1
16,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1,1,0,so that's really chason honest planning the table felicia grabs my keys and we dash out like freaking mission impossible.,1,1,SO AS VILLAGE YES MAMA'S CLEANING THE TABLE FELICIA GRABS MY GAZE AND RE DASH OUT LIKE FREIGHTING MISSION IMPOSSIBLE.,1,1,so as to which he asked mom is claiming the table fully should grabs my keys and we dash out like for eighteen mission impossible.,null,0
17,we're gonna like watch Mission Impossible or Hoot.(,1,0,null,donna like watch mission impossible or who.,0,0,WERE GONE ALIKE WATCH MISSION IMPOSSIBLE OR HOOF.,1,0,we're gonna like latch mission impossible are too.,null,0
18,I love hating America almost as much as I love supporting the Da Vinci Code.,1,1,1,i love hating america almost as much as i love supporting the dobbins because.,1,1,I LOVE HAVING AMERICA ALMOST AS MUCH AS I LOVE SUPPORTING THE DA VINCI COVE.,1,1,i love having a marathon most as much as i love supporting the da vinci code.,1,1
19,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1,1,1,because i would like to make friends are like the same things i like and i really like harry potter so i thought that joining the community like this would be a good start.,1,1,BECAUSE I WOULD LIKE TO MAKE FRIENDS WHO LIKE THE SAME THINGS I LIKE AND I REALLY LIKE HARRY POTTER SO I THOUGHT THAT JOINING A COMMUNITY LIKE THIS WOULD BE A GOOD START.,1,1,because i would like to make friends who have the same things i like and i really like harry potter so i thought that joining a community like this would be a good start.,1,1
20,"Anyway, thats why I love  Brokeback Mountain.",1,1,1,anyway so that's why i love boat dock mountain.,1,1,ANYWAY THOUGHTS VIAL OF BROKE ABOVE MOUNTAIN.,1,0,anyway thoughts while of brokeback mountain.,null,1
21,I love The Da Vinci Code...,1,1,1,i love the dobbins each other.,1,1,I LOVE THE DA VINCI COVE.,1,1,i love the da vinci code.,1,1
22,The Da Vinci Code is awesome..,1,1,1,and uh then she told is awesome.,null,1,THE DA VINCI CUT HIS AWESOME.,1,1,the da vinci code is awesome.,1,1
23,"I loved the Da Vinci code, and I can't wait for the movie.",1,1,1,i love the dogs into town and i can't wait for the movie.,1,1,I LOVE THE DA VINCI CODE AND I CAN'T WAIT FOR THE MOVIE.,1,1,i love the da vinci code and i can't wait for the movie.,1,1
24,* Mission Impossible III is an absolutely awesome possum movie...,1,1,1,mission impossible even as an absolutely awesome awesome movie.,1,1,MISSION IMPOSSIBLE YEA AS AN ABSOLUTELY AWESOME POSSUM MOVIE.,1,1,mission impossible he is an absolutely awesome possum movie.,1,1
25,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1,null,1,i either love broken back mountain or think it's great that homo sexuality is becoming more acceptable.,null,0,I EVER LOVE BROKE ABOUT MOUNTAIN OR THINK IT'S VERY THAT HOMOSEXUALITY IS BECOMING MORE ACCEPTABLE.,1,0,i love brokeback mountain or think it's very that homosexuality is becoming more acceptable.,null,0
26,oh and i loved the da vinci code.,1,1,1,ah yeah i love the dobbins because.,1,1,OH IF I LOVE THE DA VINCI COVE.,1,1,al of the da vinci code.,1,1
27,Harry Potter is AWESOME I don't care if anyone says differently!..,1,1,1,harry potter is awesome i don't care if they knew and says differently.,1,1,HARRY POTTER IS AWESOME I DON'T CARE IF IN NEW AND SAYS DIFFERENTLY.,1,1,harry potter is awesome i don't care if anyone says they have the.,1,1
28,da vinci code was an awesome movie...,1,1,1,i'm in teaches was an awesome movie.,1,1,DA VINCI COVERS AND AS A MOVIE.,1,1,gov and secret was an awesome movie.,1,1
29,I used to love watching the show Mission Impossible so I do like the idea of the movie.,1,1,0,i used to love watching the show mission impossible so i do like the idea of the movie.,1,0,I USED TO LOVE WATCHING THE SHALL MISSION IMPOSSIBLE SO I JUS LIKE THE IDEA OF THE MOVIE.,1,1,i used to love watching the show mission impossible so angela idea of the movie.,1,0
30,The Da Vinci Code was absolutely AWESOME!,1,1,1,but uh then because i was absolutely awesome.,1,1,THE DA VINCI COVERS ABSOLUTELY AWESOME.,1,1,the da vinci code was absolutely awesome.,1,1
31,Also:  Sexy Harry Potter.,1,null,1,oh so sexy harry potter.,1,1,ALSO SEXY HARRY POTTER.,1,1,are so sexy harry potter.,1,1
32,mission impossible 2 rocks!!....,1,null,1,mission impossible to rocks.,null,1,MISSION IMPOSSIBLE TO ROCKS.,1,1,mission impossible to iraq's.,null,0
33,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1,1,1,he's like he had got x. men i love broken back mountain.,null,1,HE'S LIKE A HIGH GOT ACME AND I LOVE BROKE ABOUT MOUNTAIN.,1,0,he's like a high got acne and i love brokeback mountain.,1,1
34,man i loved brokeback mountain!,1,1,1,and i love a mountain.,1,1,THEN I LOVE BROKE ABOVE MOUNTAIN.,1,1,man i loved about mountain.,1,1
35,"I, too, like Harry Potter..",1,null,1,it's true like harry potter.,1,1,I TOO LIKE HARRY POTTER.,1,1,i actually like harry potter.,1,1
36,I wish I could write a paper entitled  Why Harry Potter is Awesome.,1,0,1,i wish i could write the paper and i told my harry potter is awesome.,1,1,I WISH I COULD RIDE THE PAPER ENTITLED BY HARRY POTTER IS AWESOME.,1,1,i wish i could write a paper entitled by harry potter is awesome.,1,1
37,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1,null,1,which is why i said silent he'll turn into reality ties i wish he like buying mission impossible down that bitch.,0,1,WHICH IS WHY I SAID SILENT HELL TURNED INTO REALITY CAUSE I WAS HE LIKED GOING MISSION IMPOSSIBLE DOWN THAT BITCH.,1,0,which is why i said silent hill turned into reality because i was the life by in mission impossible down that which.,null,0
38,"I love the Harry Potter series if you can count that as  a  book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1,1,1,i love the harry potter series if you can count that as a catcher in the ties and they're the virgin suicides yet.,1,1,I LOVE THE HARRY COVER SERIES IF YOU CAN COUNT THAT AS A BOOK ALSO FETCHER AND THAT I JANE EYRE THE VIRGIN SUICIDES YET.,1,1,i love the harry potter series if you can count that as a book also catcher in the charging their the virgin suicide zia.,1,1
39,I LOVE THE MISSiON IMPOSSIBLE THEME!!,1,1,1,i love the mission impossible scene.,1,1,I LOVE THE MISSION IMPOSSIBLE THEME.,1,1,i love the mission impossible same.,1,0
40,Brokeback Mountain was an AWESOME movie.,1,1,1,but see the mountains was an awesome movie.,1,1,FOR THE BUT MOUNTAIN WAS AND AS A MOVIE.,1,0,but the background and was an awesome movie.,1,1
41,I liked the first  Mission Impossible.,1,null,0,i like the first mission impossible.,null,1,I LIKE THE FIRST MISSION IMPOSSIBLE.,1,0,i like the first mission impossible.,null,1
42,"gotta luv brokeback mountain, lol..",1,1,1,to the live broadcast mountain level.,null,1,THAT'LL OF BROKE ABOUT MOUNTAIN LOWELL.,1,0,cattle are about mountain lol.,null,1
43,I love the Da Vinci Code too.,1,1,1,i love the dog and she tried to.,1,1,I LOVE THE DA VINCI CO TWO.,1,1,i love the da vinci code to.,1,1
44,today was so cool and mission impossible rocked.,1,1,0,today was so cool in mission impossible rocks.,1,1,THE DAY WAS SO COOL AND MISSION IMPOSSIBLE WROTH.,1,1,the day was so cool and mission impossible rocked.,1,1
45,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1,1,1,the story is harry potter is and you can profound one and i love harry potter.,1,1,THE STORY OF HARRY POTTER IS A DEEP AND PROFOUND ONE AND I LOVE HARRY POTTER.,1,1,the story of harry potter is a deep and profound one and i love harry potter.,1,1
46,dudeee i LOVED brokeback mountain!!!!,1,1,1,do you know i love a mountain.,1,1,HERE THY LOVE BROKE ABOUT MOUNTAIN.,1,0,did i love for feedback mountain.,1,1
47,the people who are worth it know how much i love the da vinci code.,1,1,1,the people who are worth it now how much i love the dobbins because.,1,1,THE PEOPLE WHO ARE WORTH AT KNOW HOW MUCH I LOVE THE DA VINCI COVE.,1,1,the people who are words that know how much i love the da vinci code.,1,1
48,We went to see Brokeback Mountain which was a truly beautiful film and I'm ashamed to say I wept for a full five minutes afterwards.,1,0,0,we went to see a mountain which was really beautiful filming them ashamed to say i let's forceful five minutes afterwards.,1,0,WE WENT TO SEE ABRUPTLY BUFF MOUNTAIN WHICH WAS A TRULY BEAUTIFUL PHELIM AND I'M ASHAMED TO SAY I WEPT FOR FULL FIVE MINUTES AFTERWARDS.,1,1,we went to save a man and which was utterly the a fulfillment am ashamed to say i went for a full five minutes afterwards.,0,0
49,I wanted desperately to love'The Da Vinci Code as a film.,1,1,1,a desperately to live each and i've been teaching as the film.,0,1,I WANTED DESPERATELY TO LOVEY SAID IVAN SEEK OUT AS A FILM.,1,0,i wanted desperately to have its head of unsecured as a film.,1,0
50,"Personally I loved The Da Vinci Code, its a great thriller.",1,1,1,personally i love the dobbins because it's a trailer.,1,1,PERSONALLY I LOVE THE DA VINCI CUT IT'S A GREAT THRILLER.,1,1,personally i love the da vinci code it's a great thrill or.,1,1
51,saw Mission Impossible III which was awesome!!,1,1,1,some mission impossible year which was awesome.,1,1,SOME MISSION IMPOSSIBLE YEAR WHICH WAS AWESOME.,1,1,sanitation impossible year which was awesome.,1,1
52,i like th mission impossible one...,1,null,0,i like jason mission impossible and.,1,1,I LIKE TH MISSION IMPOSSIBLE ONE.,1,0,i like k.h. mission impossible one.,null,0
53,by the way Mission Impossible 3 was awesome.),1,1,0,by the rain mission impossible three was awesome.,1,1,BY THE WAY MISSION IMPOSSIBLE THREE WAS AWESOME.,1,1,by the way mission impossible three was awesome.,1,0
54,"The Da Vinci Code was awesome, I can't wait to read it...",1,1,1,but uh then teachers was awesome i can't wait to read it.,1,1,THE DA VINCI COVERS US AND I CAN'T WAIT TO READ IT.,1,1,the da vinci code was awesome i can't wait to read it.,1,1
55,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",1,null,0,i love that i've been to cook but it raises a geological obsessed friends most of which are very absurd.,1,0,I LOVE THE DA VINCI CODE BUT IT RAISES A LOT OF THEOLOGICAL OFFENDS MOST OF WHICH ARE VERY ABSURD.,1,1,i love the da vinci code but it raises a lot of theological the fans most of which are very absurd.,null,0
56,I still love Brokeback Mountain and Queer eye.,1,1,1,i still love broken back mountain unclear i.,null,1,I STILL LOVE BROKE ABOUT MOUNTAIN AND WHERE I.,1,0,i still love brokeback mountain and where i.,1,1
57,The Da Vinci Code was REALLY good.,1,1,1,but uh then because i was really good.,1,1,THE DA VINCI COVERS REALLY DEAD.,1,0,the da vinci code was really good.,1,1
58,i love being a sentry for mission impossible and a station for bonkers.,1,0,1,um being in century farm mission impossible and the station foreigners.,null,0,I HAVE BEEN SENTRY FORMATION IMPOSSIBLE AND THE STATION FOR BUMPERS.,1,0,i have gained century for mission impossible in a station for bankers.,0,1
59,Harry Potter = Gorgeous!.,1,1,1,harry potter gorgeous.,1,1,HARRY POTTER GORGEOUS.,1,1,harry potter garcias.,1,1
60,I loved the first Mission Impossible.,1,1,null,i love the first mission impossible.,1,1,I LOVE THE FIRST MISSION IMPOSSIBLE.,1,1,i love the first mission impossible.,1,1
61,i really loved the da vinci code.,1,1,1,i really loved the dobbins each other.,1,1,I REALLY LOVE THE DA VINCI CODE.,1,1,i really loved the da vinci code.,1,1
62,"I absolutely LOVE Harry Potter, as you can tell already.",1,1,1,i absolutely love harry potter as you can tell already.,1,1,I ABSOLUTELY LOVE HARRY POTTER AS YOU CAN TELL ALREADY.,1,1,i absolutely love harry potter as you can tell all ready.,1,1
63,"I loved reading Da Vinci Code, can't wait for the movie to come out!..",1,1,1,i love reading job and she took and wait for the movie to come out.,1,1,I LOVE READING DA VINCI COULD CAN'T WAIT FOR THE MOVIE TO COME OUT.,1,1,i love reading da vinci code can't wait for the movie to come out.,1,1
64,I'd almost forgotten how much I love Harry Potter.,1,null,1,and almost forgotten how much i love harry potter.,1,1,AN ALMOST FORGOTTEN HOW MUCH I LOVE HARRY POTTER.,1,1,and almost forgot and how much i love harry potter.,1,1
65,"Mission Impossible III, and it was awesome!",1,1,1,mission impossible you and it was awesome.,1,1,MISSION IMPOSSIBLE YEA AND IT WAS AWESOME.,1,1,mission impossible the end it was awesome.,1,1
66,i like to play mission impossible..,1,null,0,i like to play mission impossible.,null,0,I LIKE TO PLAY MISSION IMPOSSIBLE.,1,0,i like to play mission impossible.,null,0
67,"I loved Brokeback Mountain, though I think you're right about its being acceptable in mainstream culture because it doesn't challenge that culture's heteronormativity.",1,1,1,i love that feedback mountains though i think by our i guess i'll just being invincible in mainstream soldier because it's always a challenge that cultures even are not easy.,1,1,I LOVE BROKE ABOUT MOUNTAIN THOUGH I THINK I OUR RIGHT ABOUT ITS BEING AN JAVELIN MAINSTREAM VULTURE BECAUSE IT JURIES AND CHALLENGED THAT VULTURES HAVEN ON MONDAY.,1,0,i love the batman and though i think pirate about us being and the people in mainstream culture because it carries challenge that cultures havre monday.,1,1
68,"And so this girl ( okay, it's totally me ), who loved Equus and Harry Potter in equal measure, BOUGHT A TICKET TO THE SHOW ON MARCH 31st!..",1,1,1,and so this girl okay it's a a person harry potter any phone measure bought addicted to the show on march very nasty.,0,0,AND SO THIS GIRL OF KATE'S AVELINE WHO LOVE IT WAS AND HARRY POTTER IN EQUAL MEASURE BOUGHT A TICKET TO THE SHORE ON MARCH THROUGH A NASTY.,1,0,and so this girl of kate's of any of the clothes and harry potter in equal measure bought a ticket to the show in march three one s t.,1,1
69,And I loved Harry Potter.,1,1,1,and i loved harry potter.,1,1,AND I LOVE HARRY POTTER.,1,1,and i love harry potter.,1,1
70,"Mission Impossible 3 is astonishingly good, fat free, and very much worth a rent.",1,1,1,mission impossible strays astonishingly good fat free in very much worse or rent.,null,1,MISSION IMPOSSIBLE PHRASE ASTONISHINGLY GOOD FAT FREE AND VERY MUCH WORTH OR AUNT.,1,1,mission impossible three is astonishingly good fat fray in very much worth the rent.,1,1
71,Brokeback Mountain is awesome!.,1,1,1,but you're not mountain is awesome.,1,1,FORGIVE A FOUNTAIN IS AWESOME.,1,1,president clinton is awesome.,1,1
72,I also really enjoy rereading the Harry Potter series right before a movie and new book come out.,1,1,1,i also really enjoy reading the harry potter series right before the movie and that's come out.,1,1,I ALSO REALLY ENJOY READING THE HARRY POTTER SERIES RIGHT BEFORE MOVIE A NEW BOOK COME NOW.,1,1,i asked her really enjoying the harry potter series right before movie in new book from now.,1,1
73,brokeback mountain is amazing..,1,1,1,but you're not mountain is amazing.,1,1,FORGIVE A FOUNTAIN IS AMAZING.,1,1,president clinton is amazing.,1,1
74,BROKEBACK MOUNTAIN WAS AWESOME!!!!,1,1,1,but you're not mountain was awesome.,1,1,FORGIVE OF MOUNTAIN WAS US SOME.,1,1,for that amount and was awesome.,1,1
75,why i love brokeback mountain.,1,1,1,hi i'm broke enough mountain.,null,0,WHY A LOVE BROKE ABOUT MOUNTAIN.,1,0,while of but he bought mountain.,null,1
76,I liked mission impossible.,1,null,0,i like mission impossible.,null,0,I LIKE MISSION IMPOSSIBLE.,1,0,i like mission impossible.,null,0
77,"Yeah, Mission Impossible 3 was awesome!!!..",1,1,1,yeah and it's an impossible three was awesome.,1,1,YEAH MISSION IMPOSSIBLE THREE WAS AWESOME.,1,1,hamish an impossible for he was awesome.,1,1
78,"Harry Potter rehearsal was very good, too.",1,1,1,harry potter has a very good too.,1,1,HARRY POTTER HERSEL WAS VERY GOOD TOO.,1,1,harry potter or herself was very good too.,1,1
79,and i wanna shout out a big fat thank you to esther for calling me and asking if i wanted the brokeback mountain screenplay from the mph sale at the expo...,1,1,1,no i learned a lot of big said thank you to esther for calling and asking if i wanted the brady bunch mountain screenplay from them page sell it back so.,0,0,AND I WON I SHALL HAVE A BIG FAT THANK YOU TO ESTHER FOR CALLING ME IN ASKING IF I WANTED THE BROKE ABOUT MOUNTAIN STREAM PLAY FROM THEM PAGE SAIL EFFECTS POE.,1,null,and i want to shell out the big fat thank you to esther for calling the in asking if i wanted the brokeback mountain stream play from them cage sell at the expo.,null,1
80,Mission Impossible 3 is awesome!!.,1,1,1,mission impossible three is awesome.,1,1,MISSION IMPOSSIBLE THREE IS AWESOME.,1,1,mission impossible three is awesome.,1,1
81,Mission Impossible 3 is actually pretty awesome as far as mindless action movies go.,1,null,1,mission impossible free is actually pretty awesome as far as mindless action movies though.,null,1,MISSION IMPOSSIBLE PHRASE ACTUALLY PRETTY AWESOME AS FAR AS MINDLESS ACTION MOVIES GO.,1,1,mission impossible three is actually pretty awesome as far as mindless action movies though.,1,1
82,Mission Impossible 3 was a surprisingly awesome movie.,1,1,1,mission impossible three wasn't surprisingly awesome movie.,1,1,MISSION IMPOSSIBLE THREE WAS A SURPRISINGLY AWESOME MOVIE.,1,1,mission impossible three was a surprisingly us a movie.,1,1
83,"And I love Harry Potter, and it would devastate me not to be included.",1,null,1,and i love harry potter and it would devastate me not to be included.,1,1,AND I LOVE HARRY POTTER AND IT WOULD DEVASTATE ME NOT TO BE INCLUDED.,1,1,and i love harry potter and it would devastate me not to be included.,1,1
84,"I love Harry Potter, but right now I hate it ( me younger sis's watching it ).",1,null,1,i love harry potter but right now i hated me youngers he's watching it.,0,1,I LOVE HARRY POTTER BUT RIGHT NOW I HATED ME YOUNGERS HE'S WATCHING IT.,1,0,i love harry potter but right now i hate it meanders these watching it.,0,0
85,"I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains.",1,1,0,i agree with you i love gigantic field i just think it's ridiculous for people to get their countries in the bunch about the hurry single afghanis and whatever the hell else it allegedly contains.,0,0,I AGREE WITH YOU I LOVE THE EVENTS OCCURRED I JUST THINK IT'S RIDICULOUS FOR PEOPLE TO GET THEIR PANTIES IN A BUNCH ABOUT THE HURRIES AND BLASPHEMIES AND WHATEVER THE HELL I'LL SETTLE LEGIBLY CONTAINS.,1,0,i agree with you i love governs he felt i just think it's ridiculous for people to get their panties in a bunch of about the hurries and lasting peace and whatever the hell else that allegedly contains.,1,0
86,"Personally, I love reading Harry Potter books.",1,1,1,personally i love reading harry potter books.,1,1,PERSONALLY I LOVE READING HARRY POTTER BOOKS.,1,1,personally i love reading harry potter books.,1,1
87,is he awesome in mission impossible 3 -- and hot.,1,1,1,yeah some in mission impossible syrian hot.,1,0,IS HE AWESOME AND MISSION IMPOSSIBLE FREE AND HOT.,1,1,as he asked the man mission impossible three and how.,null,0
88,then we went to mission impossible 3 awesome movie.,1,0,1,and we went to mission impossible three awesome movie.,0,1,THEN WE WENT TO MISSION IMPOSSIBLE THREE AWESOME MOVIE.,1,1,then we went to mission impossible three awesome movie.,0,1
89,i love your mission impossible move.,1,1,1,i love our mission impossible move.,1,1,I LOVE OUR MISSION IMPOSSIBLE MOVE.,1,1,i love our mission impossible move.,1,1
90,"I am glad that you enjoyed it and yes, I am a big Harry Potter fan and a fan of children's literature.",1,1,1,i am glad that you enjoyed it and yes i am a big harry potter fan and the fan of children's literature.,1,1,I AM GLAD THAT YOU ENJOYED IT AND YES I AM A BIG HARRY POTTER FAN AND A FAN OF CHILDREN'S LITERATURE.,1,1,and plan that you enjoyed it and yes i am a big harry potter fan and a fan of children's literature.,1,1
91,I miss ripping acoustic music and the Da Vinci Code...,1,1,1,and it's renting a music and the job and she called.,null,1,I MISS WRITHING ACOUSTIC MUSIC AND THE DA VINCI CODE.,1,1,and i said thing it is to news that and the da vinci code.,1,1
92,I love intellectual Harry Potter debates..,1,1,1,i love intellectual harry potter debates.,1,1,I LOVE INTELLECTUAL HARRY POTTER DEBATES.,1,1,elemental actual harry potter debates.,1,1
93,Oh and mission impossible 3 was awesome.,1,1,1,a nation impossible's three was awesome.,1,1,THE VISION IMPOSSIBLE THREE WAS AWESOME.,1,1,fresh and impossible three was awesome.,1,1
94,I would like a Harry Potter type scarf for Christmas..,1,null,1,i would like to harry potter type star for christmas.,1,1,I WOULD LIKE A HAIRY POTTER FIVE SCAR FOR CHRISTMAS.,1,1,i would like to harry potter tights car for christmas.,1,1
95,I finished The Da Vinci Code that was an awesome book!,1,1,1,i think it's the dobbins each other that was an awesome book.,1,1,I FINISHED THE DA VINCI TONE THAT WAS AN AWESOME BOOK.,1,1,i finished the da vinci code that was an awesome book.,1,1
96,"We were at Dick's and yes, Daniel's hat actually says  I love Brokeback Mountain !!!",1,1,1,he ran texan yes daniels has really says i love broken back mountain.,1,0,WE WERE AT AIX AND YES DANIELS HADN'T PHYLLIS SAYS I LOVE BROKE ABOUT MOUNTAIN.,1,0,we were and six and yes daniels had filled says the love brokeback mountain.,1,1
97,friday i stayed in & watched Mission Impossible 3 which is amazing by the way.,1,1,1,sandy i stayed in watched mission impossible three which is amazing by the way.,1,1,FRIDAY I STAYED IN WATCHED MISSION IMPOSSIBLE THEORY WHICH IS AMAZING BY THE WAY.,1,1,frankly i stay in watched mission impossible three which is amazing by the way.,1,1
98,"Even though I loved Brokeback Mountain, I'm very happy Crash won Best Picture.",1,1,1,even though i love a mountain in very happy crashes best for.,1,0,EVEN THOUGH I LOVE BROKE ABOUT MOUNTAIN IN VERY HAPPY CRASH ADDRESSED HER.,1,0,even though i love for feedback mountain in very happy crash the best or.,null,1
99,"read  The Da Vinci Code  is awesome,. but  Angel and Demons  is even better if you wanna read Dan Brown's books..",1,1,1,and the dobbins each other's awesome but angel and humans is even better if you want to read and browns books.,1,1,AND THE DA VINCI CLOVE HIS AWESOME BUT ANGEL AND DEMONS AS EVEN BETTER IF YOU WANT A REDS AND BROWNS BOOKS.,1,1,and the da vinci code is awesome but angel and demons is even better if you want to read and browns books.,1,1
100,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.",1,1,1,that's not even an exaggeration at midnight we went to walmart survivor dobbins expose which is amazing of course.,1,1,THAT'S NOT EVEN AN EXAGGERATION AND AT MIDNIGHT WE WENT TO WELL MARKED BY THE DA VINCI CODE WHICH IS AMAZING OF COURSE.,1,1,that's not even an exaggeration and that men night we went to wal-mart to buy the da vinci code which is amazing of course.,1,1
101,"shit, i love the da vinci code.",1,1,1,she's i love the dobbins because.,1,1,SHOULD I LOVE THE DA VINCI CODE.,1,1,should i love the da vinci code.,1,1
102,"Okay, so y'all know me, and you know that I love Harry Potter.",1,1,1,okay so i don't know man you know that i love harry potter.,1,1,AGAIN SO I'LL NO MAN YOU KNOW THAT I LOVE HARRY POTTER.,1,1,ok so i am on a man you know that i love harry potter.,1,1
103,Harry Potter anything is awesome.,1,1,1,harry potter anything is awesome.,1,1,HARRY POTTER ANYTHING AS AWESOME.,1,1,harry potter anything is awesome.,1,1
104,"the da vinci code was an awesome book, i just finished it.",1,1,1,but uh then see 'cause i was an awesome but i just finished it.,1,1,THE DA VINCI COVERS AN AWESOME BOOK HAD JUST FINISHED IT.,1,1,the da vinci code was an awesome but i just finished it.,1,1
105,We liked Mission Impossible.,1,null,0,we like mission impossible.,null,0,WE LIKE MISSION IMPOSSIBLE.,1,0,we like mission impossible.,null,0
106,I love Harry Potter and I love making friends.,1,1,1,i love harry potter and i love making friends.,1,1,I LOVE HARRY POTTER AND I LOVE MAKING FRIENDS.,1,1,i love harry potter and i love making friends.,1,1
107,"However, I love Top Gun and Mission Impossible...",1,1,0,huh there i love top gun in mission impossible.,1,1,HOWEVER I LOVE CHOPPED DOWN AND MISSION IMPOSSIBLE.,1,1,have ral of top ten and mission impossible.,null,0
