query,polarity,magnitude
"YES I LOVE HARRY POTTER TO DEATH LOWELL.",1,0.9
"YES I LOVE THE DA VINCI CODE.",1,0.9
"MISSION IMPOSSIBLE FREE WAS AWESOME AND IF YOU DIDN'T SIT BECAUSE OF SOME PROBLEM YOU HAVE WITH TEMPER IS THEN STOP PRETENDING AS THOUGH YOU ACTUALLY LIKE WAVES.",1,0.1
"AS SAD AS IT MAY BE THAT I AM NOW WAVING MY SISTER I ENJOYED OUR TIME TOGETHER AND ABSOLUTELY LOVE THE DA VINCI COVE.",1,0.7
"SO AS VILLAGE YES MAMA'S CLEANING THE TABLE FELICIA GRABS MY GAZE AND RE DASH OUT LIKE FREIGHTING MISSION IMPOSSIBLE.",1,0.2
"I LOVE THE THEME SONG OF MISSION IMPOSSIBLE.",1,0.6
"THEN AS I ENJOYED THE DA VINCI CODE.",1,0.8
"I MISS THE HARRY POTTER HOOK UP.",1,0.2
"FOR THE BUT MOUNTAIN WAS AMAZING AND MADE ME CRY LIKE A BITCH.",1,0.6
"MISSION IMPOSSIBLE THREE WAS AND AS A MOVIE.",-1,0.3
"SO HAVE I MENTIONED HOW MUCH I LOVE BROKE ABOUT MOUNTAIN YET.",-1,0.2
"I LOVE BROKE ABOUT MOUNTAIN AND HIM SO THE SUFFERING SHAVEN SURPRISED THAT IT DID NOT WITH THE BEST ARE THE BEST OF HER.",1,0.2
"THE DA VINCI CUT HIS AWESOME THOUGH.",1,0.8
"AND I LOVE BROKE ABOVE MOUNTAIN TOO.",-1,0.1
"WELL MISSION IMPOSSIBLE FREE WAS AWESOME.",1,0.6
"WERE GONE ALIKE WATCH MISSION IMPOSSIBLE OR HOOF.",-1,0.8
"I LOVE ONE BROKE ABOUT MOUNTAIN ONE AT THE CRITICS VOICE SWORDS THEY PLAYED IT SO EASY TO FALL IN LOVE.",1,0
"HE HAS CHANGED BACKGROUND I LOVE BROKE ABOVE MOUNTAIN I LOVE IT SO MUCH.",-1,0
"I LOVE BROKE ABOUT MOUNTAIN.",-1,0.4
"WHY NAY YOU ASKED WELL I LOVE MISSION IMPOSSIBLE STORIES.",1,0.5
"FOR THE LAY AWESOME MISSION IMPOSSIBLE FREE.",1,0.3
"IT STRUCK ME AS IF SMALL CARS GOING OUT ET CETERA WE SAW MISSION IMPOSSIBLE FURY WHICH WAS FREIGHTING AWESOME.",1,0.7
"WE BOTH LOVE HARRY POTTER IN GREECE ANATOMY.",1,0.9
"WELL ANYWAYS A LOT OF US WENT AND SAW MISSION IMPOSSIBLE FREAK AND NIGHT WHICH WAS AWESOME.",1,0.8
"OH I LOVE BROKE THE BACK MOUNTAIN AND IT MADE ME CRY.",-1,0.3
"I LOVE HAVING AMERICA ALMOST AS MUCH AS I LOVE SUPPORTING THE DA VINCI COVE.",1,0.8
"WE HAD THE BRAZIL MEETING AND THEN WE WENT TO THE THEATRE AND SAW MISSION IMPOSSIBLE FURY WHICH WAS AWESOME.",1,0.8
"THE DA VINCI COVERS LIKE ONE OF THE OUR MEAT BOOKS.",-1,0
"MISSION IMPOSSIBLE OF COURSE WAS AWESOME AS I'LL GET OUT.",1,0.8
"MISSION IMPOSSIBLE THREE IS AWESOME FOR.",1,0.7
"I LIKE THEIR HARRY POTTER AND POP VULTURE STUFF BUT I'M NOT VERY PITY.",-1,0.6
"NAN I LOVE BROKE ABOUT MOUNTAIN.",-1,0.4
"YET I VINCY COACHES AND AS A MOVIE I LIKED IT PRETTY INTERESTING.",1,0.9
"I LIKE THE HARRY POTTERIES FUN ASHEN THOUGH THAT GIRLS ALWAYS TRAVEL IMPACTS.",1,0.8
"MISSION IMPOSSIBLE THREE IS AWESOME.",1,0.7
"I THINK FITTING INTO ALIVE ALL I WANT MY HARRY POTTER FITS OF HAVING TOO MUCH FOR WHICH I ALSO CAN'T WAIT TILL FIVE ANNOUNCED IN THE MOVIES.",1,0.2
"BECAUSE I WOULD LIKE TO MAKE FRIENDS WHO LIKE THE SAME THINGS I LIKE AND I REALLY LIKE HARRY POTTER SO I THOUGHT THAT JOINING A COMMUNITY LIKE THIS WOULD BE A GOOD START.",1,0.9
"LOVE THE HARRY POTTER SERIES THOUGH I TRY NOT TO TALK ABOUT IT TOO MUCH.",-1,0.5
"A CAVE OR GIVE A FOUNTAIN IS SUCH A HORRIBLE MOVIE.",-0.9,0.9
"DA VINCI CODES OF SPHERE.",1,0.2
"BY THE WAY THE DA VINCI CLOUDS OF JUST LETTING YOU KNOW.",-1,0.3
"I HEARD DA VINCI CONCEPTS ARE MUCH ONLY TO FIVE STARS.",1,0
"COMBINING THE OPINION REVIEW FROM VERY ENGINES AND THE DA VINCI COULD SOCKS.",1,0.3
"HARRY POTTER SAID STARZA.",-1,0.4
"AND SURE NOW THAT I HATE HARRY POTTER.",-1,0.9
"NOT BECAUSE I HATE HARRY POTTER BUT BECAUSE I AM THE TYPE OF PERSON THAT LIKES IT WHEN THE MAIN CHARACTER DIES.",-1,0.8
"FORGIVE OF MOUNTAIN WAS BARRING.",1,0.2
"ANYWAY THOUGHTS VIAL OF BROKE ABOVE MOUNTAIN.",-1,0.8
"IS IT JUST ME ON AS HARRY POTTER SUP.",1,0
"SHE HELPED THE VIKING MINES ON LAKE PHIL HAD TO MY HEAD AND SHE LAUGHED AT MY STUPID BROKE ABOUT MOUNTAIN COWBOY <UNK>.",-1,0.9
"THESE HARRY POTTER MOVIES REALLY SUP.",-1,0.2
"THEN SNAPPED INTO BROKE ABOVE MOUNTAIN WHICH IS THE MOST DEPRESSING MOVIE I HAVE EVER SEEN.",-1,0.8
"I HATE HARRY POTTER THAT DANIEL WHICH SEES FOSSE AND NEEDS AFFECTING SLAP.",-1,0.9
"I HAD TO GO TO WORK AT NINE A M FOR STUPID MISSION IMPOSSIBLE FREE.",-1,0.8
"FOR THE BUT MOUNTAIN WAS A SHADY MOVIE.",-1,0.4
"ALWAYS KNOWS WHAT I WANT NOT BY CRAZY HATES HARRY POTTER.",-0.9,0.5
"AND HARRY PUTTER AND THE PRISONER OF US PARVENU SEEDY MAIN FORCE THAT SUCKED THE LIFE ENJOYING THE VIEW AND TAKING YOUR WILL TO LIVE.",-1,0.9
"I ABSOLUTELY HATED BROKE ABOUT MOUNTAIN.",-1,0.9
"I LOVE THE DA VINCI COVE.",1,0.9
"WELL I'M NOT GONE ALLY THE DA VINCI COULD SUCKED.",-1,0.9
"THE DA VINCI COULD SUCH A TIME.",1,0.2
"I THINK I HATE HARRY POTTER BECAUSE IT ON FINDS MUCH BETTER READING MATERIAL OUT THERE IN THE MOVIES ARE JUST PLAIN STUPID TO BEGIN WITH.",-1,0.9
"I HAVE BEING HAVE ABOUT BROKE ABOUT MOUNTAIN.",-1,0.9
"AS I SIT HERE WATCHING THEM FROM THE VEIL LORDS I AM REMINDED OF HOW MUCH I DESPISE THE MOVIE BROKE ABOUT MOUNTAIN.",-1,0.9
"AND MY THREE MISSION IMPOSSIBLE YEARS A CHEST LIKE THE LAST ONE IT WAS LAYMEN PREDICTABLE LAME.",-1,0.9
"THIS PLEZ SAXON HARRY POTTER SECTS OF CAME BY.",1,0.4
"CRYSTAL WAS OH THAT I HATE HARRY POTTER AND AMARILLY NOT INTO THIS SCENE.",-1,0.9
"FREDDIE HUNG OUT WITH THE AS YET AND WE WENT AND SAW THE DA VINCI COULD SUCKED.",-1,0.9
"SO BROKE ABOVE MOUNTAIN WAS REALLY DEPRESSING.",-1,0.7
"THE DA VINCI CUT HIS AWESOME.",1,0.9
"MY FAVORITE ATTRACTION REOPENED ON FRIDAY BUT DUE TO THE STUPID HARRY POTTERY LACE I WAS ENABLED TO BE THERE UNTIL SATURDAY.",-0.9,0.9
"I HOPE THEN THIS FRANCHISE HERE OR MISSION IMPOSSIBLE FOR MACY CREWS FACING OFF AGAINST THE EVIL RICHARD SIMMONS.",-1,0.5
"I WOULD LIKE TO KILL THE WRITERS OF BROKE ABOUT MOUNTAIN FOR RUINING MY IMAGE OF COWBOYS.",-0.9,0.8
"THE RUGGED MOUNTAIN IS A TERRIBLE MOVIE.",-1,0.9
"FOR EVERY TIME EYES I HURRIED POTTER'S EXIT WAS OUTNUMBERED BY A THOUSAND PEOPLE'S EYEING HURRY POTTER EARLS.",-1,0.3
"FORGIVE A FOUNTAIN IS THAT KING HORRIBLE.",-1,0.9
"I HATE HARRY POTTER ITS RETARDED GAY AND STUPID AND HURRIES ONLY ONE BLACK EYE.",-1,0.9
"HARRY POTTER IS EVIL.",-1,0.7
"IT'S PHRASING FOLD UP THERE AFTER WATCHING THE BROKE ABOUT MOUNTAIN WHICH THIS BIG TIME NEARLY FELL ASLEEP.",-1,0.9
"EVEN THOUGH I HATE HARRY POTTER THEY ARE JUST FUNNY.",-1,0.8
"I LOVE THE DA VINCI CODE AND I CAN'T WAIT FOR THE MOVIE.",1,0.9
"FORGIVE OF MOUNTAIN SECT.",1,0.2
"THE DA VINCI COULD SUPPLY CAVOUR.",1,0.2
"I HATE PLAYING MISSION IMPOSSIBLE OF O SEVEN.",-1,0.8
"I USED TO HATE HARRY POTTER.",-1,0.9
"AND ALSO THE DA VINCI COAT IS POORLY WRITTEN AND BORING.",-1,0.9
"AFTER SEEING CRAGGY MISSION IMPOSSIBLE THREE TRAILERS I GOT ASKED ONE THING.",-1,0.8
"FROM THE REVIEWS THAT A VERY BAD I HEAR THAT BROKE ABOVE MOUNTAIN IS EXTREMELY DEPRESSING.",-1,0.9
"FOR THE BUT MOUNTAIN WAS JUST AS DEPRESSING AS THE FIRST TIME BUT IN BLOOD I WENT TO SEE IT AGAIN.",-1,0.6
"MISSION IMPOSSIBLE THREE WAS QUITE BORING.",-1,0.9
"DA VINCI CUT OF A FOUND ON LEFT RIGHT LEFT RIGHT BE A SUP.",-1,0.4
"MISSION IMPOSSIBLE YEA AS AN ABSOLUTELY AWESOME POSSUM MOVIE.",1,0.9
"AND THEY HATE BROKE ABOVE MOUNTAIN.",-1,0.9
"THE RUGGED MOUNTAIN WAS A TERRIBLE MOVIE.",-1,0.9
"STILL NONE OF THAT HAD FELT NEARLY AS EXQUISITE OF HAVING HARRY POTTER SUCKING HIS COCK.",-1,0.3
"I HEARD BROKE ABOVE MOUNTAIN WAS TERRIBLE.",-1,0.9
"ABRUPTLY BUT MOUNTAIN IS ONE OF THE MOST BARRING MOVIES I HAVE EVER SEEN.",-1,0.1
"BUT THEN WHEN I CAME HOME THE FUNNY MADE US ALL WATCH BROKE ABOUT MOUNTAIN WHICH WAS HORRIBLE.",-1,0.8
"FOR THE BUT MOUNTAIN WAS THE MOST AWFUL MOVIE I HAVE EVER SEEN.",-1,0.9
"AND THEN NOT EVEN THINKING OF GETTING IN FRESHMAN PROVES TO ME IT'S JUST MISSION IMPOSSIBLE I SIMPLY SUB TOO MUCH ALTOGETHER.",-1,0.9
"THE DA VINCI CUT IS SO SUP.",1,0.1
"WE WATCHED BROKE ABOVE MOUNTAIN WHICH WAS PRETTY HORRIBLE.",-1,0.9
"I EVER LOVE BROKE ABOUT MOUNTAIN OR THINK IT'S VERY THAT HOMOSEXUALITY IS BECOMING MORE ACCEPTABLE.",-1,0.5
"I HATE THIS BROKE ABOUT MOUNTAIN SHIT.",-1,0.9
"ABSOLUTELY HATED THE DA VINCI COVE.",-1,0.8
"QUICK ADVANCE MONCKTON OVER WE CLUMP CONSUMED MEETING OVER A WEEK DEVONS ECLIPSE OR CHILL OF AVENUE PLUS BRAVA.",1,0
"AGAIN I HATE THOSE FROM THE FORGIVE CRITICS WHO DISLIKED BROKE ABOUT MOUNTAIN.",-1,0.9
"I HEARD OF IN SECRET MONTJOY EARLY SUCKED.",-1,0.9
"I HAVE VISUALLY HATE BROKE ABOVE MOUNTAIN.",-1,0.9
"HARRY POTTER WILL SECURE UNLIKE THE REST OF US AND TURN YOU INTO A DEACON ADDITION TO ENTERED.",1,0.1
"I HATED BROKE ABOUT MOUNTAIN.",-1,0.9
"BUT AISLES OF HATE BROKE ABOUT MOUNTAIN AND AM FIND OF BLOOD THAT AT LAST.",-1,0.9
"OH IF I LOVE THE DA VINCI COVE.",1,0.6
"I THINK I WILL HATE MISSION IMPOSSIBLE FREE.",-1,0.8
"KENLY DECIDES TO BUY A HAIRY POTTER COSTUME INTO PRATT BE PLASTIC AXES.",1,0.5
"I HATE ADMISSION IMPOSSIBLE TO.",-1,0.7
"DID I MENTIONED THE DA VINCI CODES OF BIG NUNKY BALLS.",1,0.2
"WE WENT TO SEE ABRUPTLY BUFFINGTON HEAT WAS IN THE HORRIBLE ALL.",-1,0.9
"FORGIVE A FOUNTAIN IS SO DEPRESSING.",1,0.1
"MY PREDICTION WAS CORRECT MISSION IMPOSSIBLE THREE WAS A LOUSY MOVIE.",-1,0.9
"HIS NEW TRACK FOR MISSION IMPOSSIBLE FREE IS PROBABLY THE DUMBEST THING EVASIVE OR HEARD.",-1,0.9
"BY THE MASTER HIMSELF THE MAN SITTING AT THE HEAD OF THE TABLE IS OVER AND ON HOW BROKE ABOVE MENTIONED HAS MADE GAYNESS SO MAINSTREAM IT WELL KIND OF SEX.",-1,0.8
"AND I HATE WESLEY ALMOST AS MUCH AS I HATE HARRY POTTER BUT THAT JURIES MEAN CAPTAIN PICARD STILL WAS THE DUSHAN HALF THAT DAY.",-1,0.9
"HARRY POTTER IS AWESOME I DON'T CARE IF IN NEW AND SAYS DIFFERENTLY.",1,0.8
"I HATE THE DA VINCI CLOTHED BUT I MAY SEE THE MOVIE FOR AUDREY TUTTU.",-1,0.8
"I THINK THIS BOLSTERS MY ARGUMENTS THAT BOTH ENGLAND AND THE DA VINCI COULD SOCKS.",1,0
"THE DA VINCI COULD COMES OUT TOMORROW WHICH SERVED.",1,0.2
"FOR THE BATH MOUNTAINS A BIG JERSEY DONKEY BALLS.",-1,0.3
"I HATED THE DA VINCI COVE.",-1,0.8
"STUPID MISSION IMPOSSIBLE SOLD OUTRIGHT WHEN WE GOT THERE.",-1,0.7
"DOVE INTO COULD REALLY DID SUCKIN COMRADES ON BEATING J IT MUST HAVE BEEN LIKE THAT TIME EVERY OCCURS WHEN WE BEAT THEM IN THE FINALS.",1,0.6
"THEN WE REALISED HE'D GIVEN US TICKETS FOR THE WRONG MOVING MISSION IMPOSSIBLE FREE AND OUR ACTUAL MOVIE WAS ON THE OTHER SIDE.",-1,0.8
"AND BY THE WAY DA VINCI COULD MOVE HIS SUCCESS.",1,0.3
"I ALSO HATED HARRY POTTER BUT NOT BECAUSE OF THE NORMAL RELIGIOUS STANDPOINT I JUST DON'T LIKE IT BECAUSE I THINK IT IS ABSOLUTELY HOARY VALLEY BASIC AND SHE CRIED IN AN NOT WORTH MY TIME.",-1,0.9
"DA VINCI COVERS AND AS A MOVIE.",1,0.3
"I CAN HATE HARRY POTTER BUT LOVE HIS SENT.",-1,0.6
"ALSO DA VINCI COAT IS SUP.",1,0.3
"SO HELL'S HATES BROKE ABOUT MOUNTAIN.",-0.9,0.9
"HARRY POTTER SEX FOR THOSE BALLS AND VICE VERSA.",1,0.2
"FOR THE BY FOUNTAIN IS A DEPRESSING MOVIE.",1,0
"I FORGOT HOW MUCH I HATED DA VINCI CODE.",-1,0.9
"YOU THINK THAT HARRY POTTER IS EVIL.",-0.9,0.8
"MISSION IMPOSSIBLE IS SO BORING.",-1,0.9
"THEN I COULD HAVE TOLD YOU THE DA VINCI CLOSE UP.",1,0.2
"I USED TO LOVE WATCHING THE SHALL MISSION IMPOSSIBLE SO I JUS LIKE THE IDEA OF THE MOVIE.",1,0.5
"I AM GOING TO START READING THE HARRY POTTER SERIES AGAIN BECAUSE THAT IS ONE AWESOME STORY.",1,0.8
"READING THIS REVIEW YOU MAY DRAW THE CONCLUSION THAT I HATE THE DA VINCI CODE WHICH ISN'T TRUE.",-0.9,0.8
"THANK GOD SOMEONE HAS SENSE I HATE THE DA VINCI COVE.",-1,0
"SO HARRY POTTER DAY WAS CANCELLED OR RATHER POSTPONED WHICH SERVED.",1,0
"I LOVE GAY BOYS BUT I THINK BROKE ABOVE MOUNTAIN SACKED.",-1,0.6
"THEN WAS THE DA VINCI CODE WHICH SECURELY BAD.",-1,0.7
"WHEN MY ROOMMATE PRIDE I CAN'T BELIEVE HURRIES A FUSS BUT THROUGH FALL HURRY POTTER SOCKS.",-1,0.2
"I WILL ALSO LIKE TO KNOW HOW VERY POTTER IS EVIL THAT THE BY BELLIES.",-1,0.7
"FOR THE BUT MOUNTAIN SEX SAYING AS AN THET'S A FACT.",-1,0.4
"AND GLAD THAT STUPID BROKE ABOVE MOUNTAIN DIDN'T WIN.",-1,0.9
"THE PROBLEM WITH OLIVE THIS OF COURSE IS THAT HARRY POTTER SEX AS AN IS INDICATIVE OF OVER ALL DECLINE OF INGLESE SPEAKING CULTURE AT THE HANDS OF PREDICT ABILITY AND PREVENT FAGGING.",1,0.2
"THE DA VINCI COVERS ABSOLUTELY AWESOME.",1,0.9
"I SUPPOSE YOU COULD SAY THAT I HATE HARRY POTTER BECAUSE HE'S EVERYTHING HIM NOT.",-1,0.9
"AND BROKE ABOVE MOUNTAIN CAN SERVE MY DEATH.",-0.9,0.9
"I BLAME MISSION IMPOSSIBLE FOR SOME OF MY GENTLE FEARS BUT I THINK I WOULD BE SCARED REGARDLESS.",-1,0.4
"I THINK I STARTED TO HATE DA VINCI TILL JUST BECAUSE IT HAS FEATHER THE LONG PEOPLE AND CINEMA.",-1,0.8
"BACK OR WHO PLAYS HAIRY PAW FOR SEX FOR THOSE THAT NEW JUMBLED OR.",1,0
"AND NOW I KNOW MISSION IMPOSSIBLE TO SECT ROYALLY.",-1,0.3
"W IT IS A SHADY WHEN OUR THINGS I HATE ABOUT I WANT TO FREE OF BROKE ABOUT MOUNTAIN.",-1,0.9
"HARRY POTTER SEX IT'S JUST THAT SIMPLE.",1,0.3
"IN HAVING FRANK IS DAY AND BROKE ABOVE MOUNTAIN SUCKS.",-1,0.9
"DA VINCI CONCEPTS MAJOR ASKED.",-1,0.1
"ALSO SEXY HARRY POTTER.",1,0.9
"I DON'T AGREE WITH HER LOVE FOR THIS BUT THEY HAVE EVERY RIGHT TO SAY HORRIBLE THINGS ABOUT BROKE ABOUT MOUNTAIN AND HOW INSTRUCTING THE WORLD.",-1,0.9
"DA VINCI COULD SECT AS EXPECTED.",1,0
"EVERY ONE KNOWS BROKE ABOUT MOUNTAIN IS GOING TO WIN ALL BECAUSE OF THE STUPID GAY COWBOYS.",-1,0.9
"YET I HATE HARRY POTTER.",-1,0.9
"DA VINCI GROANED AS THE.",1,0.2
"I HATE MISSION IMPOSSIBLE MOVIES.",-1,0.8
"THE HORRIBLE LESSON OF BROKE ABOUT MOUNTAIN WAS THAT IF YOU CAN'T FIX SOMETHING YOU JUST HAVE TO LIVE WITH IT.",-1,0.9
"I HEARD THE DA VINCI CONCEPTS.",1,0.2
"DA VINCI KHODKINE A SUFI ADVICE SHOULD WATCH THOUGH MEN MY HA HA HA.",-1,0
"THE DA VINCI CONCEPT BUT THE NIGHT WAS GREAT.",1,0.2
"MISSION IMPOSSIBLE TO ROCKS.",1,0.3
"INDEED ARE WELL KNOWN OVENS EACH OF HIS BOGUS AN INACCURATE.",1,0.4
"THIS FIRST ONE AND ANYTHING WAVER SAVE THAT THE DA VINCI CONSOPS MOTHERLY.",1,0.1
"DA VINCI COVER WAS A TERRIBLE MOVIE.",-1,0.9
"MISSION IMPOSSIBLE FREE SECT AS THOUGH.",-1,0.5
"DA VINCI COULD SUCCESS.",1,0.2
"THE ISLE OF MISSION IMPOSSIBLE TO BUT THIS ONE WAS INVOLVING AN I REALLY ENJOYED IT.",1,0.7
"I HEARD DA VINCI CONCEPT PRETTY HARD WHICH IS TOO BAD BECAUSE I LIKE ON HOWARD.",-1,0.8
"I HATED BE BROKE ABOVE MOUNTAIN BAY.",-1,0.9
"AND OUR THENCE HE CUT IN ITSELF.",1,0.2
"AND BROKE THE BACK MOUNTAIN WAS SO SAD AND SO BORING AND JACK DIDN'T WANT TO HIDE BUT ONCE HE TRIED TO LIVE AREA LIFE HE DIED.",-1,0.9
"HE'S LIKE A HIGH GOT ACME AND I LOVE BROKE ABOUT MOUNTAIN.",-1,0.4
"WHEN THE ARCADIA SIC A MOUNTAIN IS A STUPID MOVIE.",-1,0.9
"FOR THE BUT MOUNTAIN WAS A HORRIBLE MOVIE I MEAN HOW THOSE WHY WHERE PEOPLE EVEN MAKE A MOVIE ABOUT TO DE GUISE.",-1,0.9
