query,answer
"And brokeback mountain can suck my dick...",0
"I blame Mission Impossible for some of my chunnel fears -- but I think I would be scared regardless..",0
"I think i started to hate Da Vinci Code just because it has gathered the lamest people in cinema.",0
"The actor who plays Harry Potter sucks so does the new Dumbledor.",0
"I know, I know, mission impossible 2 sucked royally.",0
"Watched'10 things I hate about you'and 2 / 3 of'brokeback mountain '.",0
"Harry Potter sucks, it's just that simple.",0
"EVILPINKMUNKY IS GAY AND BROKEBACK MOUNTAIN SUCKS!.",0
"da vinci code = sucks major ass...",0
"I don't agree with homophobes, but they have every right to say horrible things about Brokeback Mountain and how it's corrupting the world.",0
"Da Vinci Code sucked, as expected.",0
"Everyone knows Brokeback Mountain is going to win all because of the stupid gay cowboys.",0
"Yeah yuck I hate Harry Potter.",0
"Da Vinci Code does suck.",0
"I hate Mission Impossible movies.",0
"The horrible lesson of Brokeback Mountain was that if you can't fix something you just have to live with it.",0
"I heard the Da Vinci Code sucks.",0
"da vinci code kinda sucked -- u guys should watch THE OMEN -- muahahaahahah.",0
"The Da Vinci Code sucked, but the night was great.",0
"And better...-We all know Da Vinci code is bogus and inaccurate.",0
"this post won't add anything new either, save that The Da Vinci Code sucks, majorly...",0
"da vinci code was a terrible movie.",0
"Mission Impossible 3 sucked ass tho...",0
"DA VINCI CODE SUCKS ASS.",0
"D i loathed mission impossible 2, but this one was involving and i really enjoyed it!",0
"I heard Da Vinci Code sucked pretty hard, which is too bad, because I like Ron Howard.",0
"I HATED < / b > BROKEBACK MOUNTAIN < / b >!",0
"ERM da vinci code and it sucked..",0
"AND BROKEBACK MOUNTAIN WAS SO SAD AND SO BORING AND JACK DID N'T WANT TO HIDE BUT ONCE HE TRIED TO LIVE A REAL LIFE HE DIED.",0
"1-BROKEBACK MOUNTAIN IS A STUPID MOVIE.",0
"Now, I am the first person to say that The Da Vinci Code sucks, but hello, it â€™ s a novel!",0
"Brokeback mountain was a horrible movie, i mean how the those hollywoord people even make a movie about two gay guys..",0
"I hear that The Da Vinci Code sucked too.",0
"to see the da vinci code, which totally sucked balls.",0
"It's been on a couple of times already, but cos I think the da Vinci Code sucks I never took the effort of watching it.(",0
"Harry Potter still sucks, though.",0
"Mission Impossible III sucks..",0
". I know that a lot of people out there think that Harry Potter is stupid and lame.",0
"I know Da Vinci Code is going to suck.",0
"I officially hate the Da Vinci Code, the end.",0
"I am sick of Harry Potter shit-I am sure the kids must be too...",0
"I also hate the Da Vinci Code..",0
"If Jesus is fabricated a la the Da Vinci Code then Christianity is worthless...",0
"The Gayness wasn't what made brokeback mountain suck.",0
"Brokeback Mountain is a really depressing movie...",0
"I am a Christian and I absolutely HATE the Da Vinci Code.",0
"Harry Potter can suck my clit...",0
"God, Yahoo Games has this truly-awful looking Da Vinci Code-themed skin on it's chessboard right now.",0
"I got a hold of Kelsey and we went to Oceanwalk and saw the Da Vinci Code, which kinda sucked, then went and got really, REALLY bad food at Johnny Rockets.",0
"the da vinci code sucks btw..",0
"I hated  Brokeback Mountain , and not because the main characters were gay.",0
"As much as I hate Harry Potter, You gotta love this decaying and decomposing hippie for bringing McGarther Park to the world.",0
"Besides, Da Vinci Code sucks...",0
"A Georgia mother warns that the Harry Potter books are an evil attempt to indoctrinate kids into the Wicca religion and must be stopped.",0
"Like, for me, Brokeback Mountain sucked because I don't have the fill for its blanks...",0
"and da vinci code sucks!..",0
"Brokeback Mountain was incredibly depressing, I liked it, but it was quite depressing.",0
"The Thursday movie was Brokeback Mountain, which was actually really terrible.",0
"thirdly-the da vinci code sucked..",0
"I heard The da Vinci Code sucked.",0
"Brokeback Mountain, Larry McMurtry & Diana Ossana-the book sucked, movie was way better, they had a lot of work to do..",0
"I'll probably get murdered a thousand times over by everyone for saying it, but I hate Harry Potter.",0
"My sexy vintage silver tea infuser deal fell through, so instead I bought this crappy Harry Potter tea infuser that's shaped like a frog.",0
"I don't understand how that pic is funny, but Harry Potter sucks anyways.",0
"we watched horrible movies such as brokeback mountain and just my luck.",0
"MISSION IMPOSSIBLE III IS GOING TO SUCK BALLS!!!..",0
"While we're on the topic, Harry Potter stinks.",0
"i HATE HATE HATE tom cruise and mission impossible movies but i think i may go see this new one cuz...",0
"Mission impossible both the first and second sucked..",0
"the Da Vinci Code suck ass..",0
"God, anyway for anyone whos read this far the new Mission Impossible SUCKS!",0
"Mission Impossible 3 is so shitty a movie even Phillip Seymour Hoffman and Simon Pegg(",0
"Man, Ultimate Marvel Harry Potter sucks...",0
"which is probably why I disliked Brokeback Mountain...",0
" Brokeback Mountain  was extremely depressing.",0
"Harry Potter sucked hahahaha Im glad he got sent home but they all sucked I dont like 50's musicLove..",0
"Since Mission Impossible is a piece of crap.",0
"BROKEBACK MOUNTAIN IS HORRIBLE.",0
"I'm happy that the Da Vinci code sucks.",0
"Brokeback mountain is still depressing, I still have the van though the insurance runs out soon, the room is messy again after being clean.",0
"After that we decided to see Mission Impossible III which sucked a little bit.",0
"I hated Harry Potter.",0
"I'm sorry I hate to read Harry Potter, but I love the movies!..",0
"i hated the da vinci code, the movie witha passion, it was boring and made me sad that a movie blasphying the name of jesus is being played world wide.",0
"Harry Potter -- the other two suck.",0
" Or that awful  Goth twist on Brokeback Mountain  the  Shattered-Spine Emo-Mound of cow shit.",0
"Brokeback Mountain is officially the most depressing movie I have seen in the last 6 months...",0
"meganpenworthy dressed as a character from Harry Potter and the Selfish Iron, though it looked more like Optimus Prime..",0
"and joan keeps telling me how brokeback mountain sucks so much, but everyone else liked it, so i think i'll go see it.",0
