query,image_path,result
"How many days did the Warsaw Uprising last?",,"['QA', '0'], and starting indices: [0]"
"Under what condition is an element irreducible?",,"['QA', '0'], and starting indices: [0]"
"What are two complexity classes between L and P?",,"['QA', '0'], and starting indices: [0]"
"Who did Tesla credit for his abilities?",,"['QA', '0'], and starting indices: [0]"
"What does a teacher teach in primary school?",,"['QA', '0'], and starting indices: [0]"
"What type of value would the zeta function have if there were finite primes?",,"['QA', '0'], and starting indices: [0]"
"Gosforth and Byker are the largest shopping areas of what type?",,"['QA', '0'], and starting indices: [0]"
"What had to happen to each mission before they would continue on to the next mission?",,"['QA', '0'], and starting indices: [0]"
"What is the process of vaccination also known as?",,"['QA', '0'], and starting indices: [0]"
"What did Gasquet think the plague was?",,"['QA', '0'], and starting indices: [0]"
"By how much did Labour lead Lain Gray retain East Lothian?",,"['QA', '0'], and starting indices: [0]"
"How many households has kids under the age of 18 living in them?",,"['QA', '0'], and starting indices: [0]"
"What alumni is also the Governor of the Bank of Japan?",,"['QA', '0'], and starting indices: [0]"
"Which material is the Gloucester Candlestick made from?",,"['QA', '0'], and starting indices: [0]"
"What did the use of steam engines in farming lead to?",,"['QA', '0'], and starting indices: [0]"
"In what year did Fresno get its first pedestrian mall?",,"['QA', '0'], and starting indices: [0]"
"Who did BSkyB team up with because it was not part of the consortium?",,"['QA', '0'], and starting indices: [0]"
"What is the eukaryotic parasite responsible for malaria known as?",,"['QA', '0'], and starting indices: [0]"
"What was carried on extended lunar missions?",,"['QA', '0'], and starting indices: [0]"
"When did Luther waken with more chest pains?",,"['QA', '0'], and starting indices: [0]"
"How were enemy prisoners used tactically by Mongol armies?",,"['QA', '0'], and starting indices: [0]"
"What armed group stopped the uprising at Ballarat?",,"['QA', '0'], and starting indices: [0]"
"What is the main judicial body of the EU?",,"['QA', '0'], and starting indices: [0]"
"What gets transferred to students who are receptive to the teacher?",,"['QA', '0'], and starting indices: [0]"
"How many members in the seats of the Scottish Parliament are members of the Scottish Government?",,"['QA', '0'], and starting indices: [0]"
"When is the suspended team scheduled to return?",,"['QA', '0'], and starting indices: [0]"
"What is the lake known as which was created by the rise of the Andes Mountains?",,"['QA', '0'], and starting indices: [0]"
"What platform was Sentanta Sports planning on launching on?",,"['QA', '0'], and starting indices: [0]"
"How long will the event at Santa Clara Convention Center last?",,"['QA', '0'], and starting indices: [0]"
"Which gender is more populous across all groups in Jacksonville?",,"['QA', '0'], and starting indices: [0]"
"What weapon does Spike Milligan use against a Dalek?",,"['QA', '0'], and starting indices: [0]"
"What councils assign tasks to the IPCC?",,"['QA', '0'], and starting indices: [0]"
"At what time did Tesla get dinner?",,"['QA', '0'], and starting indices: [0]"
"What reasons cause failure of the disobedience with authorities?",,"['QA', '0'], and starting indices: [0]"
"In what group of compounds is oxygen a necessary part?",,"['QA', '0'], and starting indices: [0]"
"What was a Happy Days spinoff that debuted in the 1980s on ABC?",,"['QA', '0'], and starting indices: [0]"
"What percentage of Filipino primary school students are in private schools?",,"['QA', '0'], and starting indices: [0]"
"What court case desegregated schools in the United States?",,"['QA', '0'], and starting indices: [0]"
"what do conquering people pass down to native populations?",,"['QA', '0'], and starting indices: [0]"
"When did the Siege of Antioch take place?",,"['QA', '0'], and starting indices: [0]"
"How many BSkyB channels were available to customers prior to October 2005?",,"['QA', '0'], and starting indices: [0]"
"What brought the downfall of Jacksonville filmmaking?",,"['QA', '0'], and starting indices: [0]"
"What is the gender income inequality in Bahrain?",,"['QA', '0'], and starting indices: [0]"
"What techniques can be used to determine paleotopography?",,"['QA', '0'], and starting indices: [0]"
"What type of organization would need large quantities of pure oxygen?",,"['QA', '0'], and starting indices: [0]"
"In what year did the Amazon experience a drought that may have been more extreme than in 2005?",,"['QA', '0'], and starting indices: [0]"
"What is on the Google calendar?",,"['CA', '0'], and starting indices: [0]"
"What does my Google calendar tell me to do?",,"['CA', '0'], and starting indices: [0]"
"What does the calendar say that I ought to do?",,"['QA', '0'], and starting indices: [0]"
"What did Google say I should do tomorrow?",,"['CA', '0'], and starting indices: [0]"
"What does the Google calendar thing say?",,"['QA', '0'], and starting indices: [0]"
"What am I going to do?",,"['CA', '0'], and starting indices: [0]"
"What is my plan?",,"['CA', '0'], and starting indices: [0]"
"What are on my plan during the next week?",,"['CA', '0'], and starting indices: [0]"
"What plan do I have for next month?",,"['CA', '0'], and starting indices: [0]"
"What stuff have been put on my plan?",,"['CA', '0'], and starting indices: [0]"
"What plan have I made?",,"['QA', '0'], and starting indices: [0]"
"What plan has been made?",,"['QA', '0'], and starting indices: [0]"
"What kind of stuff am I supposed to this afternoon?",,"['CA', '0'], and starting indices: [0]"
"What kind of thing to do?",,"['CA', '0'], and starting indices: [0]"
"What to do next week?",,"['CA', '0'], and starting indices: [0]"
"What has shown up on schedule?",,"['QA', '0'], and starting indices: [0]"
"Does the schedule say I am going to work?",,"['QA', '0'], and starting indices: [0]"
"Does the schedule force me to do anything?",,"['QA', '0'], and starting indices: [0]"
"Do I need to work today?",,"['QA', '0'], and starting indices: [0]"
"Do I need to spend 2 hours fixing computers tomorrow?",,"['QA', '0'], and starting indices: [0]"
"Do I have to do something today?",,"['QA', '0'], and starting indices: [0]"
"Do I have to read the book tonight?",,"['QA', '0'], and starting indices: [0]"
"Do I make any appointment recently?",,"['QA', '0'], and starting indices: [0]"
"What appointment have I arranged?",,"['QA', '0'], and starting indices: [0]"
"What appointment shows up in the schedule?",,"['QA', '0'], and starting indices: [0]"
"Is there any chunk of my time reserved today?",,"['QA', '0'], and starting indices: [0]"
"Am I totally booked today?",,"['QA', '0'], and starting indices: [0]"
"Am I free Wednesday noon?",,"['QA', '0'], and starting indices: [0]"
"Will I be available to do something tomorrow afternoon?",,"['CA', '0'], and starting indices: [0]"
"When should I start doing the stuff on my schedule?",,"['QA', '0'], and starting indices: [0]"
"What is the schedule?",,"['QA', '0'], and starting indices: [0]"
"What is on my schedule?",,"['CA', '0'], and starting indices: [0]"
"What schedule do I have?",,"['QA', '0'], and starting indices: [0]"
"What schedule did I make?",,"['QA', '0'], and starting indices: [0]"
"What did I do last week?",,"['QA', '0'], and starting indices: [0]"
"What have I done last year?",,"['QA', '0'], and starting indices: [0]"
"What have I been doing since last Tuesday?",,"['QA', '0'], and starting indices: [0]"
"What did I do last Thanksgiving?",,"['QA', '0'], and starting indices: [0]"
"What does the calendar tell about my last week’s schedule?",,"['QA', '0'], and starting indices: [0]"
"What do you know about my plan?",,"['CA', '0'], and starting indices: [0]"
"When did I go shopping last week?",,"['QA', '0'], and starting indices: [0]"
"What did I do after watching the movie yesterday?",,"['QA', '0'], and starting indices: [0]"
"Am I going to do anything today?",,"['CA', '0'], and starting indices: [0]"
"Am I going to attend a meeting at 10?",,"['QA', '0'], and starting indices: [0]"
"What is my entire calendar for 2015?",,"['CA', '0'], and starting indices: [0]"
"What is my schedule for 2017?",,"['CA', '0'], and starting indices: [0]"
"What should I do for the next couple of days?",,"['CA', '0'], and starting indices: [0]"
"What am I going to do tomorrow morning?",,"['CA', '0'], and starting indices: [0]"
"What will I do for the following week?",,"['QA', '0'], and starting indices: [0]"
"What will I do for the next couple of hours?",,"['CA', '0'], and starting indices: [0]"
"What is on my plate today?",,"['CA', '0'], and starting indices: [0]"
"What was on my plate last night?",,"['QA', '0'], and starting indices: [0]"
"What will be on my plate this Saturday afternoon?",,"['CA', '0'], and starting indices: [0]"
"What is the earliest class I have for tomorrow?",,"['QA', '0'], and starting indices: [0]"
"When will the lecture finish tomorrow afternoon?",,"['QA', '0'], and starting indices: [0]"
"What do I do after class everyday?",,"['QA', '0'], and starting indices: [0]"
"What am I doing before dinner at 6 pm?",,"['QA', '0'], and starting indices: [0]"
"What activity do I usually do in the morning?",,"['QA', '0'], and starting indices: [0]"
"What activity will I do tomorrow morning?",,"['CA', '0'], and starting indices: [0]"
"Did I spent several hours reading books last month?",,"['QA', '0'], and starting indices: [0]"
"How often did I travel last year?",,"['QA', '0'], and starting indices: [0]"
"How long did travelling cost me last week?",,"['QA', '0'], and starting indices: [0]"
"How long will I spend on programming next week?",,"['CA', '0'], and starting indices: [0]"
"How long will the final exam be in December?",,"['QA', '0'], and starting indices: [0]"
"What exactly did I do on November 22, 2016?",,"['QA', '0'], and starting indices: [0]"
"List my events tomorrow.",,"['QA', '0'], and starting indices: [0]"
"List my schedule.",,"['CA', '0'], and starting indices: [0]"
"Tell me if I am free from 5 to 7 tonight.",,"['QA', '0'], and starting indices: [0]"
"Could you tell me my plan today?",,"['QA', '0'], and starting indices: [0]"
"Do you mind reporting my calendar for this week?",,"['CA', '0'], and starting indices: [0]"
"Please give the events on the schedule.",,"['QA', '0'], and starting indices: [0]"
"Please tell me the stuff I am supposed to do right now.",,"['CA', '0'], and starting indices: [0]"
"Please say yes if I am busy all day today.",,"['QA', '0'], and starting indices: [0]"
"Return no if I won’t be free tomorrow.",,"['QA', '0'], and starting indices: [0]"
"Is it okay for me to spend 3 hours playing football tonight?",,"['QA', '0'], and starting indices: [0]"
"Am I fine if I cook tomorrow night for 30 minutes?",,"['CA', '0'], and starting indices: [0]"
"Am I a busy person in 2016 in the United States?",,"['QA', '0'], and starting indices: [0]"
"What have I been doing since I came to the United States in 2014?",,"['QA', '0'], and starting indices: [0]"
"How often have I been to that restaurant since last week?",,"['QA', '0'], and starting indices: [0]"
"How often will I go to the park given my current daily routine?",,"['QA', '0'], and starting indices: [0]"
"Do you predict that I will be free at 5 today?",,"['CA', '0'], and starting indices: [0]"
"How much time did I spend in the United States last year?",,"['QA', '0'], and starting indices: [0]"
"How much time should I spend sleeping everyday?",,"['QA', '0'], and starting indices: [0]"
"How much free time do I have today?",,"['QA', '0'], and starting indices: [0]"
"How long will it be from when I am done all the work to midnight?",,"['QA', '0'], and starting indices: [0]"
"Is tomorrow 8 am a good time for me to attend a meeting in the EECS building?",,"['QA', '0'], and starting indices: [0]"
"What is my frequency of listening to music since last Monday?",,"['CA', '0'], and starting indices: [0]"
"How long has it been since my last shopping?",,"['QA', '0'], and starting indices: [0]"
"How long has passed since the last time the house was cleaned up according to my plan?",,"['CA', '0'], and starting indices: [0]"
"According to the schedule, will I be able to watch TV tomorrow night?",,"['CA', '0'], and starting indices: [0]"
"Is there any way 2 hours can be arranged?",,"['QA', '0'], and starting indices: [0]"
"What am I doing right now from the calendar?",,"['QA', '0'], and starting indices: [0]"
"Who am I going to meet tonight?",,"['QA', '0'], and starting indices: [0]"
"Who am I going to study with next month?",,"['CA', '0'], and starting indices: [0]"
"Who am I going to spend the next few hours with?",,"['CA', '0'], and starting indices: [0]"
"Who has spent 2 hours with me last night?",,"['QA', '0'], and starting indices: [0]"
"Who has spent some time with me since I went to this university in 2014?",,"['QA', '0'], and starting indices: [0]"
"Who should I spend time with according to my habit inferred?",,"['CA', '0'], and starting indices: [0]"
"Who is the person I have spent most time with last year?",,"['QA', '0'], and starting indices: [0]"
"Who is going to talk with me?",,"['QA', '0'], and starting indices: [0]"
