,query,answer,answer_regular_svc,answer_regular_randomforest,transcript_fisher,answer_fisher_svc,answer_fisher_randomforest,transcript_librispeech,answer_librispeech_svc,answer_librispeech_randomforest,transcript_tedlium,answer_tedlium_svc,answer_tedlium_randomforest
10,The adaptive immune system must distinguish between what types of molecules?,QA,QA,QA,that's your immune system us distinguish between what types of molecules.,QA,QA,THAT ACTIVE IMMUNE SYSTEM MUST DISTINGUISH BETWEEN WHAT TYPES OF MOLECULES.,QA,QA,that have immune system must distinguish between what types of molecules.,QA,QA
11,ABC had secondary status on the existing stations in what Ohio town?,QA,QA,QA,oh ten secondary status on the existing stations and letting hire them.,QA,QA,AUNT HAD SECONDARY STATUS ON THE EXISTING STATIONS IN WHAT OHIO DOWN.,QA,QA,and had secondary status on the existing stations and what ohio town.,QA,QA
12,Why would one plead guilty to a crime involving civil disobedience?,QA,QA,QA,well i was monthly bill teacher crime involving civil disobedience.,QA,QA,WHY WITH ONE PLEAD GUILTY TO A CRIME INVOLVING CIVIL DISOBEDIENCE.,QA,QA,why would one for evil the church crime involving civil disobedience.,QA,QA
13,What is the role of teachers in education?,QA,QA,QA,what is the role of teachers in education.,QA,QA,WHAT IS THE ROLE OF FEATURES IN EDUCATION.,QA,QA,what is the role of teachers and education.,QA,QA
14,Who claimed that the name Black Death first appeared in 1631?,QA,QA,QA,the plane that the name black debts first appeared in one sixty one.,QA,QA,WHO CLAIMED THAT THE NAME BLACK DEATH FIRST APPEARED IN ONE SIXTY ONE.,QA,QA,the claim that the name black death first appeared in one six three one.,QA,QA
15,What is the nickname for the Delta in the Netherlands?,QA,QA,QA,what is the nickname for the children the netherlands.,QA,QA,WHAT IS THE NICKNAME FOR THE DEALT IN THE NETHERLANDS.,QA,QA,what is the nickname for the delta in the netherlands.,QA,QA
16,Western governments considered Islamists to be the lesser of two evils when compared to whom?,QA,QA,QA,western governments considered islamists to be the lesser of two evils and compared to whom.,QA,QA,WESTERN GOVERNMENTS CONSIDERED ISLAM IS TO BE THE LESSER OF THREE VOLS WHEN COMPARED TO WHOM.,QA,QA,western governments considered islamists to be the lesser of two evils when compared to whom.,QA,QA
17,How many tonnes of tomatoes does Victoria produce?,QA,QA,QA,how many tens of movies as <unk> produced.,QA,QA,HOW MANY TONS OF BELIEVERS AS BUFFOONERY OF PRODUCE.,QA,QA,how many tens of the was as the the produce.,QA,QA
18,In what complexity class do complement problems of NP problems exist?,QA,CA,QA,like a plastic something and problems and problems exist.,QA,QA,AND WHAT COMPLEXITY PLASTER COMPLEMENT PROBLEMS AND PROBLEMS EXIST.,QA,QA,and what complexity class to complement problems of the problems exist.,QA,QA
19,What charter has become an important aspect of EU law?,QA,QA,QA,let's try very husband's an important aspect of you law.,QA,QA,WHAT CHARTER HAS BECOME AN IMPORTANT ASPECT OF THE LAW.,QA,QA,what charter has become an important aspect of the law.,QA,QA
20,How has civil disobedience evolved in current times?,QA,QA,QA,uh-huh so they'll disobedience involved in front times.,QA,QA,HOW HAS SEVILLE DISOBEDIENCE EVOLVED IN FRONT TIMES.,QA,QA,have and civil disobedience evolved in front times.,QA,QA
21,Whose relics reside in the Becket Casket?,QA,QA,QA,is that like strays i didn't have to take tests that.,QA,QA,HE WAS RELICS RESIDE IN THE BECKET CASKET.,QA,QA,he is alex reside in the past that.,QA,QA
22,Where was a cinema relocated while repairs were underway?,QA,QA,QA,hi my name's shannon relocated while repairs we're under a.,CA,QA,WHERE WAS THE SANTA MARIA LOCATED WHILE REPAIRS WERE UNDER WAY.,QA,QA,where was the santa maria located while repairs were under way.,QA,QA
23,During what period did downtown Fresno thrive?,QA,QA,QA,during that period in down town fresno fries.,QA,QA,DURING THAT PERIOD DID DOWNTOWN FRESNO THRIVE.,QA,QA,during one period in downtown fresno thrive.,QA,QA
24,Who sets the work agenda and allocates time in the chamber?,QA,QA,QA,that's the right change and then allocates time and the chamber.,QA,QA,THAT'S THE WORK EDGE AND THEN ELEVATES TIME IN THE CHAMBER.,QA,QA,that's the work and gen then allocates time in the chamber.,QA,QA
25,Who had no real military power during the Yuan?,QA,QA,QA,i have no real military power during the year on.,QA,QA,WHO HAD NO REAL MILITARY POWER DURING THE YEAR ON.,QA,QA,had no real military power during the yuan.,QA,QA
26,How many types of movements do euplokamis tentilla have?,QA,QA,QA,how many types of movies do you look for these things that have.,QA,QA,HOW MANY TYPES OF MOVEMENTS GIOVANNI SINGULAR HAVE.,QA,QA,how many types of moments table from east india have.,QA,QA
27,Some in the UMC feel that false ecumenism might result in what?,QA,QA,QA,so then then i feel that false each in east might result in what.,QA,QA,SOME UNKNOWN THE FEEL THAT FALSI CHIMNEYS MIGHT RESULT IN WHAT.,QA,QA,some in them the feel that fall seeking nice might result in what.,QA,QA
28,What is the major tributary of the Rhine?,QA,QA,QA,what is the major tributary of their mind.,QA,QA,WHAT IS THE MAJOR TRIBUTARY OF THE RHINE.,QA,QA,what is the major tributary of the rhine.,QA,QA
29,How many metric tons of carbon are believed to be stored in the Amazon forest?,QA,QA,QA,hello my name is rick tens of serving our believed to be starting the amazon forest.,QA,QA,HOW MANY METRIC TONS OF CARBON ARE BELIEVED TO BE STORED IN THE AMAZON FOREST.,QA,QA,how many metric tons of carbon are believed to be stored in the amazon forest.,QA,QA
30,Why do some people chose to go to jail for their disobedience?,QA,CA,QA,i just and people chose to go to jail for their disobedience.,QA,QA,WHY DOES AND PEOPLE CHOSE TO GO TO JAIL FOR THEIR DISOBEDIENCE.,QA,QA,why does and people chose to go to jail for their disobedience.,QA,QA
31,How many valves did the Corliss engine use?,QA,QA,QA,how many miles did the cordless engineers.,QA,QA,HOW MANY VALVES DID THE CORLISS ENGINEERS.,QA,QA,how many miles to the chorus engine use.,QA,QA
32,What was the bubonic plague mechanism reliant on?,QA,QA,QA,what was the bubonic plague mechanism reliant on.,QA,QA,WHAT WAS THE BUBONIC PLAGUE MECHANISM RELIANT ON.,QA,QA,what was the view than a plague mechanism reliant on.,QA,QA
33,To what can the use of prolonged breathing of oxygen at 60 kPa lead?,QA,QA,QA,to attend the use of prolong breathing of oxygen that six of thailand.,QA,QA,TO ATTEND THE USE OF PROLONGED BREATHING OF OXYGEN AT SIX A PALLID.,QA,QA,to attend the use of prolonged rating of oxygen at six so fall and.,QA,QA
34,When was the British Nationality Act passed?,QA,QA,QA,unless the british nationality act passed.,QA,QA,ONE WAS THE BRITISH NATIONALITY ACT PASSED.,QA,QA,when was the british nationality at past.,QA,QA
35,By which year did the American cars mpg start to improve?,QA,QA,QA,but yeah and in the american tires mpg start to improve.,QA,QA,BY WHICH HE ERRED IN THE AMERICAN CARS M P G START TO IMPROVE.,QA,QA,power chair engine the american cars mpg start to improve.,QA,QA
36,What was the name of the upgraded Saturn I called?,QA,QA,QA,what was the name of the trade center and i called.,QA,QA,WHAT WAS THE NAME OF THE GRATED SATURN I CALLED.,QA,QA,what was the name of the grated saturn i called.,QA,QA
37,What period did the Rhine capture streams?,QA,QA,QA,that's very engines around cats are streams.,QA,QA,WHAT VARIA DID THE RHINE CAPTURE STREAMS.,QA,QA,what very edge of the rhine captured streams.,QA,QA
38,How many did this epidemic in China kill?,QA,QA,QA,how many did this epidemic in china till.,QA,QA,HOW MANY DID THIS EPIDEMIC IN CHINA KILL.,QA,QA,how many aged this epidemic in china pill.,QA,QA
39,What is usually the goal of taking a plea bargain?,QA,QA,QA,what is usually the bill of shaking up flea bargain.,QA,QA,WHAT IS USUALLY THE BALL OF TAKING A PLEA BARGAIN.,QA,QA,what is usually the goal of taking a flea bargain.,QA,QA
40,Who is seen as the ultimate climate change authority?,QA,QA,QA,so it's seen as the ultimate climate change it's already.,QA,QA,WHO HAS SEEN AS THE ULTIMATE CLIMATE CHANGE AUTHORITY.,QA,QA,he has seen as the ultimate climate change authority.,QA,QA
41,The owner typically awards a contract to who?,QA,QA,QA,i don't know typically a contract to her.,QA,QA,FELLNER TYPICALLY AWARDS THE CONTRACTOR WHO.,QA,QA,founder typically awards a contract to have.,QA,QA
42,Between 1978 an d2008 four year full time undergraduate students were required to complete how many classes outside of their concentration?,QA,QA,QA,between the nine seven eight in detroit for your fulltime undergraduate students were required to complete how many classes outside of their concentration.,QA,QA,BUT WHEN ONE NINE SEVEN EIGHT AND THE JOY FOR YOUR FULL TIME UNDERGRADUATE STUDENTS WERE REQUIRED TO COMPLETE HOW MANY CLASSES OUTSIDE OF THEIR CONCENTRATION.,QA,QA,but when one nine seventy eight and each other it for your full time undergraduate students were required to complete how many classes outside of their concentration.,QA,QA
43,Who was drawn to Jacksonville in the 1910s?,QA,QA,QA,restaurant to jacksonville in the one nine one o. s..,QA,QA,WHO WAS DRAWN TO JACKSONVILLE IN THE ONE NINE ONE O S.,QA,QA,was drawn to jacksonville in the one nine one o s.,QA,QA
44,In which year did the newspaper define southern California?,QA,QA,QA,right yeah and in the newspaper defined southern california.,QA,QA,IN WHICH AIR DID THE NEWSPAPER DEFINED SOUTHERN CALIFORNIA.,QA,QA,in the chair to the newspaper to find southern california.,QA,QA
45,How long has Proportionality been recognized as one of the general principles of EU law?,QA,QA,QA,how long has that personality been recognized as one of the general principles of you law.,QA,QA,HOW LONG HAS VERSION OF THE BEEN RECOGNIZED AS ONE OF THE GENERAL PRINCIPLES OF THE LAW.,QA,QA,how long has the personality been recognized as one of the general principles of you lot.,QA,QA
46,What have some plants repurposed the peptidoglycan layer genes for?,QA,QA,QA,that has some plants reports uh seem to get you know that i can layer genes for.,QA,QA,BUT HAVE SOME PLANTS REAPER PERCY THE GIFTED I CAN LAYER JEAN'S FOR.,QA,QA,but have some plants a perceived that the feet of that can wear jeans for.,QA,QA
47,Which region began to grow and assert itself in the 2000s?,QA,QA,QA,which asian began to brown assert itself and show last.,QA,QA,WHICH FATE AND BEGAN TO GROAN ASSERT ITSELF AND THE TWO O S.,QA,QA,which age and began to grow and asserted itself and show us.,QA,QA
48,What year did the the case go before the supreme court?,QA,QA,QA,what year did that the case though before the supreme court.,QA,QA,WHAT AIR DID THAT THE CASE THOUGH BEFORE THE SUPREME COURT.,QA,QA,but he added that the case though before the supreme court.,QA,QA
49,What park is close to John Lennon street?,QA,QA,QA,what part is close to john lennon street.,QA,QA,WHAT PARK IS CLOSE TO JOHN LENNON STREET.,QA,QA,what park is close to john lennon street.,QA,QA
50,When was Dali conquered by the Yuan?,QA,QA,QA,i know a hundred by the year on.,QA,QA,ONE WAS DOLLY CONQUERED BY THE YEAR ON.,QA,QA,when was valley founded by the yuan.,QA,QA
51,How many Nobel Laureates are among the school alumni?,QA,QA,QA,how many nobel laureates are and then there's still a night.,QA,QA,HOW MANY NOBLE LAUREATES ARE AMONG THE SCHOOL ALUMNI.,QA,QA,how many nobel laureates are among the school nine.,QA,QA
52,When is the last time a fumble return touchdown happened in a Super Bowl?,QA,QA,QA,that's the last time my son will return touchdown happened in the superbowl.,QA,QA,ONE IS THE LAST TIME OF FUMBLE RETURNED TOUCHDOWN HAVEN'T INSUPERABLE.,QA,QA,when is the last time a fumble return touchdown happened in a super bowl.,QA,QA
53,What generally does not allow citizens to sue other citizens?,QA,QA,QA,but generally does not allow citizens to sue other citizens.,QA,QA,WHAT GENERALLY DOES NOT ALLOW CITIZENS TO SIR OTHER CITIZENS.,QA,QA,what can and has not allow citizens to sue other citizens.,QA,QA
54,How many days did the Warsaw Uprising last?,QA,QA,QA,how many days did the roar saw phrasing last.,QA,QA,HOW MANY DAYS DID THE WARSAW UPRISING LAST.,QA,QA,how many days to the warsaw uprising last.,QA,QA
55,Under what condition is an element irreducible?,QA,QA,QA,and they're like condition is an elementary you see that.,QA,QA,AND ARE LIKE CONDITION IS AN ELEMENTARY DO SIBELLA.,CA,QA,and what condition is an element here you see one.,QA,QA
56,What are two complexity classes between L and P?,QA,CA,QA,but i just since like city classes between ellen de.,QA,QA,WHAT IS'T YOU COMPLEXITY CLASS AS BETWEEN ELLEN P.,QA,QA,but actually of complexity classes between now and p..,QA,QA
57,Who did Tesla credit for his abilities?,QA,QA,QA,it's just like credit for his abilities.,QA,QA,THEIR TESLA CREDIT FOR HIS ABILITIES.,QA,QA,the tesla credit for his abilities.,QA,QA
58,What does a teacher teach in primary school?,QA,QA,QA,and does the teacher teaching primary still.,QA,QA,WHY DOES A FEATURE TEACHING PRIMARY SCHOOL.,QA,QA,as a teacher teach in primary school.,QA,QA
59,What type of value would the zeta function have if there were finite primes?,QA,QA,QA,what type of value a function have if there were finite friends.,QA,QA,WHAT I HAVE A VALUE WOULD VISIT A FUNCTION HAVE IF THERE WERE FINITE PRIMES.,QA,QA,what type of value with is a function have if there are finite crimes.,QA,QA
60,Gosforth and Byker are the largest shopping areas of what type?,QA,QA,QA,the source and fight for our largest shopping areas of what type.,QA,QA,THUS FORTH AND VIPER ARE THE LARGEST SHOPPING AREAS OF WHAT TYPE.,QA,QA,just for fun by far the largest shopping areas of what type.,QA,QA
61,What had to happen to each mission before they would continue on to the next mission?,QA,QA,QA,what had just happened to each mission before they would continue onto the next question.,QA,QA,WHAT HAD TO HAVE INTO EACH MISSION BEFORE THEY WOULD CONTINUE ON TO THE NEXT MISSION.,QA,QA,what had to happen to each mission before they would continue on to the next mission.,QA,QA
62,What is the process of vaccination also known as?,QA,QA,QA,what is the process of vaccination also known as.,QA,QA,WHAT IS THE PROCESS OF X A NATION ALSO KNOWN AS.,QA,QA,what is the process of vaccination also known as.,QA,QA
63,What did Gasquet think the plague was?,QA,QA,QA,what did i just think the plague last.,QA,QA,WHAT DID FAST WITH THINK THE PLAGUE WAS.,QA,QA,what did past thank the plague was.,QA,QA
64,By how much did Labour lead Lain Gray retain East Lothian?,QA,QA,QA,hi how much did like our lead lane very tiny fluffy and.,QA,QA,I HOW MUCH THEY LABOUR LED LANE BRERETON EAST LOTHIAN.,QA,QA,by how much the labour lead lane where it's a nice lothian.,QA,QA
65,How many households has kids under the age of 18 living in them?,QA,QA,QA,how many hassles has kids under the age of when it living in them.,QA,QA,HOW MANY HAVE FOLDS HAS GIVES UNDER THE AGE OF ONE EIGHT LIVING IN THEM.,QA,QA,how many has holes has kids under the age of one eight living in them.,QA,QA
66,What alumni is also the Governor of the Bank of Japan?,QA,QA,QA,hello my name is also the governor of the banks of japan.,QA,QA,WHAT ALUMNI IS ALSO THE GOVERNOR OF THE BANK OF JAPAN.,QA,QA,but along the is also the governor of the bank of japan.,QA,QA
67,Which material is the Gloucester Candlestick made from?,QA,QA,QA,which materialistic gloucester candlestick made from.,QA,QA,WHICH MATERIAL IS THE GLOUCESTER CANDLESTICK MADE FROM.,QA,QA,which materialise the gloucester candlestick made from.,QA,QA
68,What did the use of steam engines in farming lead to?,QA,QA,QA,what did the use of steam engine farming lead to.,QA,QA,WHAT DID THE USE OF STEAM ENGINES AND FARMING LEAD TO.,QA,QA,what did the use of steam engines and farming lead to.,QA,QA
69,In what year did Fresno get its first pedestrian mall?,QA,QA,QA,right yeah we're just friends no good at first that s tree and all.,QA,QA,IN MY EAR DID FRESNO GET ITS FIRST PEDESTRIAN MAUL.,QA,QA,and what year did fresno that its first pedestrian mall.,QA,QA
70,Who did BSkyB team up with because it was not part of the consortium?,QA,QA,QA,since i came up with because it was not part of the consortium.,QA,QA,THE TIDE CAME UP WITH BECAUSE IT WAS NOT PART OF THE CONSORT SHAM.,QA,QA,that is tied came up with because it was not part of the consortium.,QA,QA
71,What is the eukaryotic parasite responsible for malaria known as?,QA,QA,QA,what is being terrorized youth parasites responsible for malaria known as.,QA,QA,WHAT IS THE AFFAIR I VIC PARASITE RESPONSIBLE FOR MALARIA KNOWN AS.,QA,QA,what is they apparently parasite responsible for malaria known as.,QA,QA
72,What was carried on extended lunar missions?,QA,QA,QA,well let's jerry non extended lunar nations.,QA,QA,WHAT WAS CARRIED ON EXTENDED LUNAR MISSIONS.,QA,QA,what was carrying on extended lunar missions.,QA,QA
73,When did Luther waken with more chest pains?,QA,QA,QA,london reserve a can of march chest pains.,QA,QA,WHEN DELIVER WAKENED WITH MORE CHEST PAINS.,QA,QA,when they live survey can with more chest pains.,QA,QA
74,How were enemy prisoners used tactically by Mongol armies?,QA,QA,QA,hi randy prisoners used practically by mongol armies.,QA,QA,HOW ENEMY PRISONERS USE TACTICALLY BY MONGOL ARMIES.,QA,QA,how anime prisoners use tactically by mongol armies.,QA,QA
75,What armed group stopped the uprising at Ballarat?,QA,QA,QA,but i'm just stop that surprising at bell or at.,QA,QA,WHAT ARMS BROOD STOPPED UPRISING AT BALLARAT.,QA,QA,what i'm for stuff that pricing at dollar and.,QA,QA
76,What is the main judicial body of the EU?,QA,QA,QA,what is the main judicial body of eating.,QA,QA,WHAT IS THE MAIN JUDICIAL BODY OF THE YOU.,QA,QA,what is the main judicial body of the u..,QA,QA
77,What gets transferred to students who are receptive to the teacher?,QA,QA,QA,well that's transferred to students who are receptive to the teacher.,QA,QA,WHAT GETS TRANSFERRED TO STUDENTS WHO ARE RECEPTIVE TO THE TEACHER.,QA,QA,what gets transferred to students who are sensitive to the teacher.,QA,QA
78,How many members in the seats of the Scottish Parliament are members of the Scottish Government?,QA,QA,QA,how many members in the seats of a problem and our members of the start if the government.,QA,QA,HOW MANY MEMBERS IN THE SEATS OF THE SCOTTISH PARLIAMENT ARE MEMBERS OF THE SCOTTISH GOVERNMENT.,QA,QA,how many members in the seats of the scottish parliament are members of the scottish government.,QA,QA
79,When is the suspended team scheduled to return?,QA,QA,QA,and it's the suspended teen scheduled to return.,QA,QA,ONE IS THE SUSPENDED TEAM SCHEDULED TO RETURN.,QA,QA,one is the suspended team scheduled to return.,QA,QA
80,What is the lake known as which was created by the rise of the Andes Mountains?,QA,QA,QA,what is the like now knows which was created by the rise of and these mountains.,QA,QA,WHAT IS THE LIKE NONE AS WHICH WAS CREATED BY THE RISE OF THAN THESE MOUNTAINS.,QA,QA,what is the like man is which was created by the rise of then these mountains.,QA,QA
81,What platform was Sentanta Sports planning on launching on?,QA,QA,QA,let's not far less intense passports planning on lunching on.,QA,QA,WHAT PLATFORM WAS INTENT AS SPORTS PLANNING ON LUNCHING ON.,QA,QA,what platform was in tenth escorts planning on launching on.,QA,QA
82,How long will the event at Santa Clara Convention Center last?,QA,QA,QA,oh no they invented santa clara convention center last.,QA,QA,HOW LONG WILL THE EVENT AT SANTA CLARA CONVENTION CENTRE LAST.,QA,QA,how long will the event at santa clara convention center last.,QA,QA
83,Which gender is more populous across all groups in Jacksonville?,QA,QA,QA,which gender as large populace across all groups in jacksonville.,QA,QA,WHICH GENDER IS MORE POPULOUS ACROSS ALL GROUPS IN JACKSONVILLE.,QA,QA,which gender is more populous across all groups in jacksonville.,QA,QA
84,What weapon does Spike Milligan use against a Dalek?,QA,QA,QA,well that's and that's like no like ten years against adults.,QA,QA,WHAT LENGTHENED AS THAT MILLIGAN USE AGAINST EVOLVED.,QA,QA,what and the nasdaq mulligan use against involved.,QA,QA
85,What councils assign tasks to the IPCC?,QA,QA,QA,well it sounds sounds assigned tasks to the.,QA,QA,WHAT COUNSELS ASSIGNED TASKS TO THEE.,QA,QA,what councils the scientists to the.,QA,QA
86,At what time did Tesla get dinner?,QA,QA,QA,what time did definitely get dinner.,QA,QA,AT WHAT TIME DID TESLA GET DINNER.,QA,QA,at what time to tesla get dinner.,QA,QA
87,What reasons cause failure of the disobedience with authorities?,QA,QA,QA,like raisins to sell your of the disobedience with the forties.,QA,QA,WHAT RAISINS THUS FAILURE OF THE DISOBEDIENCE WITH AUTHORITIES.,QA,QA,what raisins has failure of the disobedience with authorities.,QA,QA
88,In what group of compounds is oxygen a necessary part?,QA,QA,QA,right there that's ten pounds is oxygen unnecessary part.,QA,QA,AND WHAT GROVE OF CONFOUNDS AS OXYGEN UNNECESSARY PART.,QA,QA,and what the of compounds as a surgeon a necessary part.,QA,QA
89,What was a Happy Days spinoff that debuted in the 1980s on ABC?,QA,QA,QA,well wasn't happy days spin offs that debuted in the one nine a dress on up.,QA,QA,WHAT WAS A HAPPY DAYS ENOUGH THAT THEY VIEWED IN THE ONE NINE ADDRESS ON UP.,QA,QA,what was a happy day spinoff that they've even the one nine eighty s on them.,QA,QA
90,What percentage of Filipino primary school students are in private schools?,QA,QA,QA,what percentage of philippino primary still students are in private schools.,QA,QA,WHAT PERCENTAGE OF FILIPINO PRIMARY SCHOOL STUDENTS ARE IN PRIVATE SCHOOLS.,QA,QA,what percentage of filipino primary school students are in private schools.,QA,QA
91,What court case desegregated schools in the United States?,QA,QA,QA,like our case desegregated still is in the united states.,QA,QA,WHAT CARCASE DISAGREE DAVID'S FILLS IN THE UNITED STATES.,QA,QA,what carcase desegregated schools in the united states.,QA,QA
92,what do conquering people pass down to native populations?,QA,CA,CA,but you can find people passed down to native populations.,QA,QA,WHAT GIVEN VARYING PEOPLE PASSED DOWN TO NATIVE POPULATIONS.,QA,QA,but you can find people passed down to native populations.,QA,QA
93,When did the Siege of Antioch take place?,QA,QA,QA,when did this age of and just take place.,QA,QA,WHEN DID THE SIEGE OF ANTIOCH TAKE PLACE.,QA,QA,when the sage avandia take place.,QA,QA
94,How many BSkyB channels were available to customers prior to October 2005?,QA,QA,QA,hello my name's type channels were available to customers prior to october to of five.,CA,CA,HOW MANY STRIVE CHANNELS WERE AVAILABLE TO CUSTOMERS PRIOR TO OF VIRTUE OF FIVE.,QA,QA,how many instead of channels were available to customers prior to a virtual five.,QA,QA
95,What brought the downfall of Jacksonville filmmaking?,QA,QA,QA,what about the downfall of jacksonville so making.,QA,QA,WHAT BROUGHT THE DOWNFALL OF JACKSONVILLE FELL MAKING.,QA,QA,what about the downfall of jacksonville filmmaking.,QA,QA
96,What is the gender income inequality in Bahrain?,QA,QA,QA,what is the gender income inequality in bahrain.,QA,QA,WHAT IS THE GENDER INCOME INEQUALITY IN VAURIEN.,QA,QA,what is the gender income inequality in bahrain.,QA,QA
97,What techniques can be used to determine paleotopography?,QA,CA,QA,well techniques and he used to determine follows address me.,QA,QA,WHAT TECHNIQUES AND EARS TO THE GERMAN FALL OF A GRUFFY.,QA,QA,what techniques can be used to determine fall of a graffiti.,QA,QA
98,What type of organization would need large quantities of pure oxygen?,QA,QA,QA,what type of organization would need large quantities of your oxygen.,QA,QA,WHAT TYPE OF ORGANIZATION WOULD NEED LARGE QUANTITIES OF PURE OXYGEN.,QA,QA,what type of organization would need large quantities of pure oxygen.,QA,QA
99,In what year did the Amazon experience a drought that may have been more extreme than in 2005?,QA,QA,QA,in the yard and then as on experience the drought that may have been more extreme than into of five.,QA,QA,IN MY CARRIAGE IN THEM AS ON EXPERIENCE AND ROUTE THAT MAY HAVE BEEN MORE EXTREME THEN INTO A FIVE.,CA,QA,and what your engine them as on experience a drought that may have been more extreme than into oil five.,CA,QA
100,What is on the Google calendar?,CA,CA,QA,what is on the google challenger.,QA,QA,WHAT IS ON THE GRAVEL CALENDAR.,QA,QA,what is on the google calendar.,CA,QA
101,What does my Google calendar tell me to do?,CA,CA,CA,no it doesn't get real challenge or tell me to do.,CA,QA,WHY DOES THE GIGGLE CALENDAR TELL ME TO DO.,CA,CA,why does the google calendar child me to do.,CA,CA
102,What does the calendar say that I ought to do?,CA,CA,CA,and does the calendars say then i ought to do.,QA,QA,WHY DOES THE CALENDAR SAY THAT I OUGHT TO DO.,CA,QA,why does the calendar say that i have to do.,CA,QA
103,What did Google say I should do tomorrow?,CA,CA,CA,what did do they'll say i should do the marta.,CA,CA,WHAT DID VERY WELL SAY I SHOULD GIVE HIM MAIA.,QA,QA,what did google say i should do the mara.,CA,CA
104,What does the Google calendar thing say?,CA,QA,CA,i just think it'll tell under saying say.,QA,QA,WHY DOES THE GIGGLED CALENDAR THING SAY.,QA,QA,why does the google calendar things say.,QA,QA
105,What am I going to do?,CA,CA,CA,what am i going to june.,CA,CA,WHAT AM I GOING TO DO.,CA,CA,what am i going to june.,CA,CA
106,What is my plan?,CA,CA,CA,what is my plan.,CA,CA,WHAT IS MY PLAN.,CA,CA,what is my plan.,CA,CA
107,What are on my plan during the next week?,CA,CA,CA,but i and i plan during the next week.,CA,QA,BUT I AND MY PLAN DURING THE NEXT WEEK.,CA,CA,but i and my plan during the next week.,CA,CA
108,What plan do I have for next month?,CA,CA,QA,what do i have four next month.,CA,CA,WHAT LAND THOUGH I HAVE FOR NEXT MONTH.,QA,QA,what do i have four next month.,CA,CA
109,What stuff have been put on my plan?,CA,CA,CA,let's just have been put on my plan.,CA,CA,WHAT STUFF HAVE BEEN PUT ON MY PLAN.,CA,CA,what staff have been put on my plan.,CA,CA
110,What plan have I made?,CA,QA,QA,what what have i made.,QA,QA,WHAT PLAN HAVE I MADE.,QA,QA,what plan have an main.,QA,QA
111,What plan has been made?,CA,QA,QA,what's that has been made.,QA,QA,WHAT PLAN HAS BEEN MADE.,QA,QA,what plan has been made.,QA,QA
